id;miejsce;id_zawodnika;wynik_I_serii;wynik_II_serii;nota;id_zawodow
78;20;57;104,50;106,50;168,30;3
79;21;62;104,00;107,00;167,80;3
80;22;168;109,50;97,50;161,60;3
81;23;67;102,50;104,50;161,10;3
82;24;79;104,50;101,50;159,80;3
83;25;226;110,00;95,50;151,90;3
84;26;50;102,50;99,00;150,20;3
85;27;165;102,00;98,50;149,40;3
86;28;123;103,50;95,00;143,80;3
87;29;236;110,00;91,00;142,80;3
88;1;197;119,00;133,00;268,60;4
89;2;108;116,50;128,50;263,50;4
90;3;66;119,50;128,00;259,50;4
91;4;136;116,50;132,50;257,70;4
92;5;63;121,00;122,00;252,40;4
93;6;79;115,50;127,50;249,40;4
94;7;99;115,00;120,50;239,40;4
95;8;70;115,00;116,50;233,70;4
96;9;3;111,00;119,00;233,50;4
97;10;38;115,50;117,50;231,40;4
98;11;68;112,50;117,00;227,60;4
99;12;244;111,00;116,50;225,00;4
100;13;208;112,50;115,00;224,50;4
101;14;135;110,00;115,50;224,40;4
102;15;77;126,00;114,50;222,90;4
103;16;209;111,50;113,50;221,00;4
104;17;229;113,00;110,00;214,40;4
105;18;207;114,00;109,00;213,40;4
106;19;151;110,50;111,00;213,20;4
107;20;57;109,50;110,00;207,60;4
108;21;132;109,50;109,50;205,20;4
109;22;104;110,50;108,00;204,80;4
110;22;176;111,00;107,50;204,80;4
111;24;231;107,00;112,00;204,20;4
112;25;134;104,00;112,00;201,80;4
113;26;85;101,50;113,00;197,10;4
114;27;98;102,00;112,50;196,10;4
115;28;226;106,00;107,00;192,90;4
116;29;1;104,50;103,50;188,40;4
117;1;108;120,00;122,00;257,60;5
118;2;231;122,50;122,00;255,10;5
119;3;136;117,00;129,50;254,20;5
120;4;3;121,50;117,00;250,80;5
121;5;63;117,00;122,00;247,70;5
122;6;164;117,50;119,00;244,70;5
123;7;98;112,00;121,50;236,80;5
124;8;197;115,00;117,50;234,00;5
125;9;79;112,50;116,50;226,70;5
126;10;135;108,50;118,00;224,70;5
127;11;68;113,50;112,00;220,90;5
128;12;66;112,00;113,00;220,50;5
129;13;85;109,50;115,50;220,00;5
130;14;207;111,50;113,00;219,60;5
131;15;36;112,00;113,00;219,00;5
132;16;104;110,50;112,00;216,50;5
133;17;236;110,00;112,00;215,10;5
134;18;123;110,00;112,50;214,50;5
135;19;133;112,50;110,50;214,40;5
136;20;8;108,00;111,00;206,70;5
137;21;77;104,00;113,00;204,10;5
138;22;51;107,00;108,50;201,90;5
139;23;57;110,50;101,00;193,70;5
140;24;132;108,50;103,00;192,70;5
141;25;113;105,50;106,00;192,20;5
142;25;226;102,00;109,50;192,20;5
143;27;70;108,50;102,00;190,90;5
144;28;34;106,50;104,00;189,40;5
145;29;134;108,50;110,50;187,20;5
146;1;136;111,50;118,50;259,20;6
147;2;3;104,00;103,00;214,30;6
148;3;108;94,00;111,50;211,60;6
149;4;85;104,50;101,00;206,10;6
150;5;50;104,00;98,00;201,30;6
151;6;208;96,00;104,00;198,70;6
152;7;123;99,00;97,50;192,90;6
153;8;197;96,00;101,50;192,20;6
154;9;68;97,50;100,00;191,70;6
155;10;63;99,00;97,50;189,90;6
156;11;98;96,50;100,00;189,40;6
157;12;79;95,50;99,50;188,20;6
158;13;176;100,50;95,00;188,10;6
159;14;236;95,50;100,00;187,10;6
160;15;135;92,50;97,50;177,20;6
161;16;77;92,50;95,50;171,60;6
162;17;207;97,50;89,50;168,30;6
163;18;200;96,00;89,50;167,60;6
164;19;164;95,00;89,00;165,40;6
165;20;92;94,00;89,50;165,00;6
166;21;244;92,00;92,50;162,80;6
167;22;151;86,50;94,00;156,60;6
168;23;209;83,00;96,50;155,80;6
169;24;104;91,50;88,00;154,30;6
170;25;46;98,00;79,00;149,30;6
171;26;147;82,50;93,00;148,10;6
172;27;138;87,00;85,00;140,30;6
173;28;57;85,50;83,50;131,90;6
174;29;38;84,00;83,50;131,20;6
175;1;136;127,00;134,00;274,80;7
176;2;3;118,50;124,50;242,90;7
177;3;236;117,00;127,50;242,60;7
178;4;197;118,00;118,00;225,30;7
179;5;47;117,00;116,50;223,30;7
180;6;79;112,00;122,00;220,20;7
181;7;68;117,50;114,50;216,60;7
182;8;132;117,00;113,00;211,50;7
183;9;208;111,50;116,50;208,40;7
184;10;77;109,00;118,50;207,00;7
185;11;98;112,50;114,00;204,20;7
186;12;55;110,50;114,50;203,00;7
187;13;63;114,50;106,50;195,30;7
188;14;133;98,50;121,50;194,00;7
189;15;164;111,00;110,50;192,20;7
190;16;67;106,50;113,50;192,00;7
191;17;104;111,00;106,00;186,10;7
192;18;212;96,50;117,50;178,70;7
193;19;135;100,00;105,50;165,40;7
194;20;244;94,50;111,50;163,80;7
195;21;211;99,50;106,50;160,80;7
196;22;85;101,50;102,50;159,70;7
197;23;70;94,50;108,00;155,00;7
198;24;51;96,00;104,50;153,40;7
199;25;176;89,00;111,50;152,40;7
200;26;134;105,00;94,50;150,10;7
201;27;207;95,50;104,50;150,00;7
202;28;8;96,50;95,50;134,60;7
203;29;12;81,00;98,50;112,10;7
204;1;136;206,50;194,50;392,70;8
205;2;197;195,50;188,00;365,20;8
206;3;98;189,00;190,50;356,40;8
207;4;63;191,00;177,50;349,70;8
208;5;3;206,50;163,50;347,00;8
209;6;68;170,00;195,50;337,60;8
210;7;108;173,00;174,50;324,00;8
211;8;85;164,00;182,00;317,70;8
212;9;138;170,50;166,00;306,80;8
213;10;77;165,00;172,00;306,40;8
214;11;36;166,50;166,00;300,00;8
215;12;208;165,50;165,00;297,10;8
216;13;133;163,00;165,00;294,60;8
217;14;134;182,50;150,00;294,50;8
218;15;22;158,00;166,50;287,40;8
219;16;212;154,00;168,50;286,50;8
220;17;57;159,50;162,50;285,90;8
221;17;164;171,50;150,50;285,90;8
222;19;161;156,00;162,00;282,10;8
223;20;19;159,50;151,50;272,20;8
224;21;176;159,50;151,00;272,10;8
225;22;207;153,00;156,00;268,80;8
226;23;189;143,00;159,50;261,00;8
227;24;226;166,50;137,00;260,70;8
228;25;55;147,00;153,00;260,50;8
229;26;74;150,50;148,50;258,30;8
230;27;8;148,00;146,00;246,80;8
231;28;122;144,00;138,00;230,40;8
232;29;130;151,00;133,00;228,80;8
233;1;136;212,00;194,50;397,80;9
234;2;3;200,50;193,00;381,20;9
235;3;197;189,00;198,50;371,50;9
236;4;85;197,50;186,50;367,80;9
237;5;98;212,50;172,50;362,00;9
238;6;63;211,00;169,50;359,60;9
239;7;68;205,00;174,50;357,40;9
240;8;77;196,50;172,50;348,30;9
241;9;138;177,50;170,00;322,50;9
242;10;133;185,50;162,00;321,50;9
243;11;108;173,00;170,00;319,60;9
244;12;22;165,00;169,50;301,90;9
245;13;208;180,00;153,50;299,70;9
246;14;36;185,00;147,00;298,40;9
247;15;212;179,50;149,00;295,70;9
248;16;240;161,00;162,50;291,20;9
249;17;226;174,00;151,50;290,10;9
250;18;57;160,00;165,00;290,00;9
251;19;134;173,50;148,00;287,30;9
252;20;55;165,50;153,50;285,30;9
253;21;19;170,00;149,50;284,40;9
254;22;176;165,50;150,50;279,20;9
255;23;74;163,00;150,50;278,70;9
256;24;161;164,00;149,00;278,10;9
257;25;164;177,50;137,00;274,90;9
258;26;8;163,00;148,00;273,70;9
259;27;207;167,00;146,00;268,60;9
260;28;34;161,00;143,50;258,90;9
261;29;70;155,00;143,50;255,20;9
262;1;136;129,50;133,50;276,40;10
263;2;135;121,00;124,00;239,50;10
264;3;240;123,50;122,00;238,90;10
265;4;55;119,50;125,50;233,50;10
266;5;3;120,50;121,00;232,70;10
267;6;200;126,00;114,00;230,00;10
268;7;151;114,50;122,00;223,20;10
269;8;235;121,00;115,50;222,70;10
270;9;236;115,50;120,50;221,80;10
271;10;244;125,50;114,00;218,10;10
272;11;164;116,00;116,00;215,60;10
273;12;226;120,50;113,50;215,20;10
274;13;208;113,50;120,50;213,20;10
275;14;176;119,50;112,50;213,10;10
276;15;77;119,00;112,00;211,30;10
277;16;145;109,50;122,00;210,20;10
278;17;90;112,00;118,00;208,00;10
279;18;108;107,50;119,50;205,10;10
280;19;79;109,00;118,00;202,60;10
281;20;70;113,00;115,50;200,80;10
282;21;212;114,50;112,00;200,20;10
283;22;38;113,00;112,50;198,40;10
284;23;178;121,00;105,50;197,70;10
285;24;134;107,50;114,50;191,60;10
286;25;209;109,50;108,00;183,00;10
287;26;165;105,00;110,00;181,50;10
288;27;210;108,00;108,50;179,70;10
289;28;100;111,50;104,00;176,90;10
290;29;66;114,50;90,00;154,60;10
291;1;197;128,00;130,50;267,80;11
292;2;98;122,00;126,00;247,90;11
293;3;236;119,50;126,00;242,90;11
294;4;108;120,50;123,50;242,70;11
295;5;67;122,00;123,50;242,40;11
296;6;3;120,00;124,50;242,10;11
297;7;176;122,00;122,00;241,20;11
298;8;136;125,50;129,50;240,00;11
299;9;79;122,00;120,50;238,50;11
300;10;77;116,00;122,50;229,80;11
301;11;135;115,50;123,00;228,30;11
302;12;55;122,50;114,00;227,70;11
303;13;240;120,50;116,00;224,70;11
304;14;164;119,00;117,00;223,80;11
305;15;208;115,00;119,50;222,60;11
306;16;85;116,00;119,50;221,90;11
307;17;151;117,00;118,00;221,00;11
308;18;134;117,00;116,50;218,30;11
309;19;226;113,50;117,00;211,90;11
310;20;133;117,00;109,50;204,70;11
311;21;70;112,50;114,50;204,10;11
312;22;36;110,00;115,50;202,90;11
313;23;22;110,50;114,50;202,50;11
314;24;66;111,50;113,50;201,50;11
315;25;113;109,00;113,50;195,00;11
316;26;90;109,50;111,50;192,30;11
317;27;200;109,00;111,00;190,50;11
318;28;26;110,00;109,50;190,10;11
319;29;209;108,00;109,00;187,10;11
320;1;136;132,50;133,50;282,30;12
321;2;135;123,50;129,00;256,50;12
322;3;67;127,50;125,00;255,00;12
323;4;236;125,50;127,00;254,00;12
324;5;98;125,00;124,50;248,60;12
325;6;208;133,00;116,00;246,70;12
326;7;79;124,50;123,00;245,50;12
327;7;197;128,50;119,00;245,50;12
328;9;3;121,00;123,50;241,60;12
329;10;108;129,50;113,50;241,40;12
330;11;63;121,00;122,50;238,30;12
331;12;77;120,00;121,50;233,70;12
332;13;151;120,00;117,50;228,50;12
333;14;36;123,50;114,50;226,90;12
334;15;176;129,50;107,50;226,10;12
335;16;66;118,50;113,00;216,20;12
336;17;138;115,00;115,00;211,50;12
337;18;165;114,00;114,00;210,90;12
338;19;240;119,00;109,50;209,30;12
339;20;85;122,50;104,50;204,60;12
340;21;133;114,50;106,50;188,30;12
341;22;22;119,00;99,50;187,30;12
342;23;134;110,50;105,00;182,40;12
343;24;55;117,00;99,00;180,30;12
344;25;226;111,50;100,50;174,60;12
345;26;113;110,50;101,50;173,10;12
346;27;57;108,50;101,00;170,60;12
347;28;70;110,50;99,00;169,10;12
348;29;92;108,50;88,50;142,10;12
349;1;136;132,50;136,00;283,80;13
350;2;98;132,00;133,50;278,40;13
351;3;208;124,00;127,00;253,80;13
352;4;108;125,50;120,00;244,40;13
353;5;138;125,00;121,00;243,30;13
354;6;77;122,00;122,50;242,10;13
355;7;151;117,00;126,50;238,80;13
356;8;67;126,50;118,00;238,10;13
357;9;79;116,00;120,00;222,30;13
358;10;3;113,00;121,50;222,10;13
359;11;63;116,00;119,00;222,00;13
360;12;236;120,00;115,00;221,50;13
361;13;164;121,50;110,50;218,10;13
362;14;85;119,00;113,00;214,60;13
363;15;176;119,50;112,00;214,20;13
364;16;135;113,00;115,50;208,30;13
365;17;200;113,50;110,00;199,80;13
366;18;66;112,50;110,50;198,90;13
367;19;166;112,00;108,00;192,50;13
368;20;133;112,00;107,50;191,10;13
369;21;36;117,00;100,00;185,60;13
370;22;165;116,00;96,50;179,00;13
371;23;168;109,00;103,00;175,60;13
372;24;55;111,50;98,50;173,50;13
373;25;8;109,50;100,00;171,10;13
374;26;22;119,50;89,50;170,20;13
375;27;38;110,50;98,00;167,30;13
376;28;134;111,00;93,00;157,70;13
377;29;240;116,50;67,00;112,80;13
378;1;104;128,00;146,00;293,20;14
379;2;136;122,00;151,50;284,30;14
380;3;98;128,50;139,50;283,40;14
381;4;151;127,00;134,50;271,20;14
382;5;135;120,50;135,50;261,30;14
383;6;240;123,50;130,50;257,20;14
384;7;108;121,00;131,00;255,60;14
385;8;67;120,00;135,00;253,50;14
386;9;68;115,00;139,50;250,60;14
387;10;77;117,00;135,00;250,10;14
388;11;215;123,00;123,50;242,20;14
389;12;79;112,50;134,50;240,10;14
390;13;93;126,00;117,50;235,30;14
391;14;38;113,00;129,50;233,50;14
392;15;208;113,00;130,00;232,40;14
393;16;22;117,00;124,00;226,80;14
394;17;36;114,50;122,50;222,10;14
395;18;74;116,00;119,50;221,90;14
396;19;134;108,00;126,00;215,20;14
397;20;226;112,00;121,00;213,40;14
398;21;189;114,00;117,00;212,80;14
399;22;34;109,00;122,50;208,70;14
400;23;207;107,50;123,50;208,30;14
401;24;55;106,50;119,50;204,80;14
402;25;145;113,00;114,00;202,10;14
403;26;211;109,50;116,00;198,90;14
404;27;58;107,00;118,00;198,00;14
405;28;11;108,00;116,50;197,60;14
406;29;235;108,00;116,50;195,10;14
407;1;136;142,50;142,50;316,00;15
408;2;98;138,50;129,00;279,50;15
409;3;68;129,50;130,00;266,60;15
410;4;108;129,00;129,00;265,90;15
411;5;151;128,50;130,50;265,70;15
412;6;197;132,00;124,50;259,70;15
413;7;135;129,50;125,50;259,50;15
414;8;63;130,50;123,50;256,70;15
415;9;104;129,50;125,00;255,60;15
416;9;79;129,50;125,00;255,60;15
417;11;67;129,50;120,50;247,00;15
418;12;208;121,00;126,50;241,50;15
419;13;85;122,50;124,50;241,10;15
420;14;236;123,50;123,00;240,70;15
421;15;57;122,00;119,50;233,20;15
422;16;77;119,00;121,50;227,90;15
423;17;176;122,00;116,50;223,80;15
424;18;240;118,00;119,00;222,60;15
425;19;22;108,50;126,00;218,60;15
426;20;145;109,50;125,50;217,00;15
427;21;51;113,50;120,50;216,20;15
428;22;200;116,00;117,00;215,90;15
429;23;93;107,50;123,50;212,80;15
430;24;164;113,50;116,50;212,00;15
431;25;226;113,00;118,00;209,30;15
432;26;70;104,50;126,00;205,40;15
433;27;66;110,00;116,00;201,30;15
434;28;133;112,50;110,50;195,40;15
435;29;123;111,50;111,00;192,50;15
436;1;98;198,00;197,00;384,50;16
437;2;132;195,00;194,50;373,40;16
438;3;68;190,50;193,50;370,30;16
439;4;136;186,00;197,50;370,20;16
440;5;197;188,50;191,50;364,00;16
441;6;79;198,00;186,50;360,90;16
442;7;77;187,00;188,50;359,60;16
443;8;236;182,00;182,50;343,40;16
444;9;57;184,00;178,50;343,00;16
445;10;3;193,00;166,00;335,80;16
446;11;208;168,50;188,50;334,40;16
447;12;135;180,50;172,50;330,60;16
448;13;63;176,00;176,50;329,50;16
449;14;38;171,50;183,00;328,40;16
450;15;67;175,00;181,00;327,70;16
451;16;85;161,00;189,00;325,50;16
452;17;111;173,00;175,00;322,60;16
453;18;108;176,00;167,50;319,20;16
454;19;134;169,50;174,50;314,80;16
455;20;104;179,00;167,50;311,80;16
456;21;4;174,50;162,50;308,90;16
457;22;211;166,50;169,50;308,70;16
458;23;176;159,50;176,50;308,20;16
459;24;210;165,50;169,50;304,50;16
460;25;240;161,50;168,00;298,90;16
461;26;200;165,50;164,50;298,50;16
462;27;22;159,00;167,00;295,20;16
463;28;161;161,00;165,00;294,70;16
464;29;93;161,50;162,50;291,80;16
465;1;197;200,00;202,50;395,00;17
466;2;136;201,50;201,50;394,60;17
467;3;98;201,50;202,50;394,30;17
468;4;68;197,50;203,50;391,70;17
469;5;57;190,00;197,00;375,40;17
470;6;108;187,00;195,50;369,50;17
471;7;79;190,50;197,50;367,60;17
472;8;132;183,50;199,00;364,50;17
473;9;111;188,00;191,50;364,40;17
474;10;151;177,50;199,00;360,30;17
475;11;4;190,00;180,50;352,60;17
476;12;135;178,00;192,00;352,50;17
477;13;210;185,50;176,00;338,80;17
478;14;134;177,50;181,50;334,80;17
479;15;161;177,50;179,00;333,80;17
480;16;38;179,00;179,50;332,70;17
481;17;67;170,00;188,50;331,20;17
482;18;200;180,00;177,00;330,90;17
483;19;85;175,00;174,00;321,30;17
484;20;145;177,50;170,50;320,60;17
485;21;208;175,50;167,50;315,10;17
486;22;77;172,50;170,50;314,60;17
487;23;226;169,50;168,00;308,00;17
488;24;34;171,50;166,00;307,50;17
489;25;63;173,00;164,50;304,50;17
490;26;104;174,00;166,00;304,00;17
491;27;70;170,00;162,00;299,90;17
492;28;93;170,00;158,50;298,20;17
493;29;11;173,00;151,50;289,90;17
494;1;136;119,50;124,00;259,80;18
495;2;197;118,00;123,50;255,20;18
496;3;135;107,50;118,00;221,90;18
497;4;98;105,50;114,00;211,60;18
498;5;79;103,50;114,50;207,90;18
499;6;57;101,50;115,00;206,70;18
500;7;145;103,50;111,00;198,60;18
501;8;108;98,50;111,50;195,50;18
502;9;99;99,00;109,50;188,80;18
503;10;51;100,00;105,50;184,90;18
504;11;68;96,50;109,50;184,80;18
505;12;200;103,00;103,50;184,70;18
506;13;34;96,50;111,50;183,40;18
507;14;11;99,50;105,50;181,00;18
508;15;161;92,50;110,50;179,90;18
509;16;244;97,50;107,00;179,60;18
510;17;132;91,50;112,00;178,30;18
511;18;22;96,00;106,50;177,50;18
512;19;3;97,50;105,00;177,00;18
513;20;111;91,50;109,50;172,30;18
514;21;92;94,00;105,00;171,70;18
515;22;240;95,00;104,50;171,10;18
516;23;210;97,00;102,50;170,10;18
517;24;90;94,00;105,50;169,60;18
518;25;157;94,50;103,50;168,40;18
519;26;226;92,50;104,00;164,20;18
520;27;211;92,50;100,00;158,00;18
521;28;176;93,50;98,50;157,60;18
522;29;229;93,00;96,00;150,20;18
523;1;136;116,00;138,50;254,60;19
524;2;57;121,00;134,00;253,50;19
525;3;145;122,50;122,00;237,10;19
526;4;90;123,00;120,00;231,40;19
527;5;212;108,50;119,50;203,40;19
528;6;132;99,50;127,50;180,60;19
529;7;93;89,50;118,00;166,50;19
530;8;161;106,50;100,50;166,10;19
531;9;98;85,00;124,50;165,60;19
532;10;51;94,00;104,00;149,40;19
533;11;38;95,00;102,50;145,00;19
534;12;209;104,50;85,00;131,10;19
535;13;11;89,00;100,00;129,70;19
536;14;79;85,00;102,00;124,10;19
537;15;113;98,00;85,50;115,80;19
538;16;240;89,00;94,50;114,30;19
539;17;68;82,50;99,00;114,20;19
540;18;197;86,00;98,50;111,60;19
541;19;130;90,50;88,50;107,70;19
542;20;244;91,00;87,50;106,30;19
543;21;211;85,50;89,50;102,50;19
544;22;92;93,50;81,00;102,10;19
545;23;135;82,00;95,00;97,10;19
546;24;226;90,00;80,50;90,40;19
547;25;210;85,00;83,50;90,30;19
548;26;22;86,50;83,00;90,10;19
549;27;151;90,00;79,50;86,60;19
550;28;1;79,50;85,50;82,00;19
551;29;99;82,00;83,00;78,50;19
552;1;136;124,50;0,00;134,10;20
553;2;79;120,00;0,00;120,50;20
554;3;197;117,00;0,00;120,10;20
555;4;57;114,50;0,00;115,60;20
556;5;67;114,50;0,00;115,10;20
557;6;135;113,00;0,00;112,90;20
558;7;68;112,00;0,00;109,60;20
559;8;164;111,00;0,00;107,80;20
560;9;98;110,50;0,00;106,40;20
561;10;151;109,50;0,00;105,60;20
562;11;93;107,00;0,00;101,10;20
563;12;132;108,00;0,00;100,90;20
564;13;38;108,00;0,00;100,40;20
565;14;66;107,00;0,00;99,10;20
566;15;240;107,00;0,00;98,10;20
567;16;212;106,50;0,00;97,70;20
568;16;208;106,50;0,00;97,70;20
569;16;77;109,00;0,00;97,70;20
570;19;108;105,50;0,00;96,90;20
571;20;51;106,00;0,00;96,30;20
572;21;226;105,50;0,00;95,40;20
573;22;123;104,50;0,00;95,10;20
574;23;99;105,00;0,00;94,50;20
575;24;210;104,50;0,00;93,60;20
576;25;70;105,00;0,00;93,50;20
577;26;209;104,00;0,00;92,70;20
578;27;34;104,50;0,00;92,10;20
579;28;134;105,00;0,00;92,00;20
580;29;176;103,50;0,00;91,80;20
581;1;197;218,00;0,00;217,60;21
582;2;98;217,50;0,00;217,00;21
583;3;85;218,50;0,00;211,70;21
584;4;136;212,50;0,00;211,00;21
585;5;111;208,50;0,00;205,20;21
586;6;145;206,00;0,00;198,70;21
587;7;57;203,00;0,00;197,60;21
588;8;113;202,50;0,00;193,50;21
589;9;38;202,50;0,00;192,50;21
590;10;79;200,00;0,00;190,50;21
591;11;36;197,50;0,00;190,00;21
592;12;151;197,00;0,00;188,90;21
593;13;93;194,50;0,00;187,90;21
594;14;212;195,00;0,00;185,50;21
595;15;135;190,50;0,00;183,60;21
596;16;34;191,50;0,00;182,80;21
597;16;67;191,50;0,00;182,80;21
598;18;108;190,50;0,00;181,60;21
599;19;134;189,50;0,00;178,90;21
600;20;138;188,00;0,00;177,60;21
601;21;211;184,00;0,00;173,30;21
602;22;70;183,50;0,00;170,70;21
603;23;4;182,50;0,00;170,00;21
604;24;92;181,50;0,00;169,80;21
605;25;22;182,00;0,00;169,40;21
606;26;161;181,00;0,00;168,20;21
607;27;11;179,00;0,00;167,30;21
608;28;207;177,00;0,00;164,40;21
609;29;66;179,00;0,00;163,80;21
610;1;136;123,50;126,50;254,00;22
611;2;197;126,50;125,00;253,20;22
612;3;55;122,00;123,50;243,40;22
613;4;98;121,00;122,50;237,80;22
614;5;63;122,00;120,00;237,10;22
615;5;236;126,00;116,00;237,10;22
616;7;76;122,50;119,50;234,10;22
617;8;77;115,50;124,00;231,60;22
618;9;96;124,00;112,00;224,80;22
619;10;22;121,00;114,50;220,90;22
620;11;65;115,50;117,50;218,40;22
621;12;57;124,50;107,50;217,10;22
622;13;4;119,50;111,50;211,80;22
623;14;67;121,50;108,50;211,00;22
624;15;111;109,00;121,50;209,90;22
625;16;82;126,00;103,50;208,10;22
626;17;113;116,00;111,50;205,50;22
627;18;79;111,50;115,50;205,10;22
628;19;108;116,50;108,50;205,00;22
629;20;68;114,50;110,00;202,60;22
630;21;226;118,00;107,00;202,00;22
631;22;93;111,50;113,00;200,60;22
632;23;244;110,50;113,50;199,20;22
633;24;38;113,00;109,50;196,50;22
634;25;164;109,50;111,50;193,80;22
635;26;192;111,00;109,00;191,50;22
636;27;132;115,00;102,50;185,00;22
637;28;135;110,50;104,00;178,10;22
638;29;174;117,00;100,50;166,50;22
639;1;98;127,50;123,00;253,90;23
640;2;136;124,50;124,00;252,30;23
641;3;77;125,00;124,00;251,70;23
642;4;236;125,00;123,00;250,40;23
643;5;76;126,00;122,50;250,30;23
644;6;55;124,50;122,00;248,70;23
645;7;197;127,00;117,00;240,70;23
646;8;57;122,00;117,50;233,10;23
647;9;132;120,00;117,00;225,10;23
648;10;22;120,00;117,50;225,00;23
649;11;4;118,50;117,50;223,80;23
650;12;96;119,00;115,50;221,60;23
651;13;164;116,50;115,50;216,10;23
652;14;63;119,50;110,00;212,10;23
653;14;244;112,50;117,00;212,10;23
654;16;111;118,50;111,50;211,50;23
655;17;93;114,50;114,00;211,30;23
656;18;50;111,50;116,00;207,00;23
657;19;11;115,00;113,00;205,40;23
658;20;67;116,50;111,50;204,40;23
659;21;79;111,50;110,50;196,10;23
660;22;85;112,00;109,00;194,30;23
661;23;108;109,50;107,50;190,60;23
662;24;135;109,50;107,00;186,20;23
663;25;174;109,50;105,50;181,00;23
664;26;120;108,00;105,00;178,40;23
665;27;151;108,00;102,50;175,40;23
666;28;133;105,50;104,50;175,00;23
667;29;66;108,50;101,50;174,00;23
668;1;136;138,50;136,00;297,60;24
669;2;197;134,50;121,50;258,80;24
670;3;76;133,00;123,00;257,80;24
671;4;57;131,00;120,50;252,70;24
672;5;113;128,00;124,50;252,50;24
673;6;55;129,00;121,00;252,00;24
674;7;77;128,50;122,50;249,30;24
675;8;85;127,00;124,50;247,70;24
676;9;98;137,50;124,50;247,10;24
677;9;236;128,00;121,50;247,10;24
678;11;123;125,50;122,50;246,40;24
679;11;93;126,00;122,00;246,40;24
680;13;38;124,50;126,50;245,80;24
681;14;67;130,50;119,50;245,50;24
682;15;22;125,00;123,50;244,80;24
683;16;50;125,50;122,50;243,40;24
684;17;4;125,00;122,00;239,10;24
685;18;66;126,50;117,50;237,20;24
686;19;240;127,50;117,00;236,60;24
687;20;79;124,50;123,00;236,00;24
688;21;37;127,50;117,00;235,10;24
689;22;132;127,00;115,50;232,50;24
690;23;134;126,50;115,00;232,20;24
691;24;217;124,50;118,00;232,00;24
692;25;108;123,00;117,00;231,00;24
693;26;112;124,00;118,00;230,60;24
694;27;207;123,50;118,00;229,70;24
695;28;244;128,50;112,50;229,30;24
