id_zawodow;data;nazwa_skoczni;sezon
57;2003-1-18;Zakopane;2002/2003
58;2003-1-19;Zakopane;2002/2003
59;2003-1-23;Hakuba;2002/2003
60;2003-1-25;Sapporo;2002/2003
61;2003-1-26;Sapporo;2002/2003
62;2003-2-1;Bad Mitterndorf;2002/2003
63;2003-2-2;Bad Mitterndorf;2002/2003
64;2003-2-8;Willingen;2002/2003
65;2003-2-9;Willingen;2002/2003
66;2003-3-9;Oslo;2002/2003
67;2003-3-14;Lahti;2002/2003
68;2003-3-15;Lahti;2002/2003
69;2003-3-22;Planica;2002/2003
70;2003-3-23;Planica;2002/2003
71;2003-11-28;Kuusamo;2003/2004
72;2003-11-29;Kuusamo;2003/2004
73;2003-12-6;Trondheim;2003/2004
74;2003-12-20;Engelberg;2003/2004
75;2003-12-29;Oberstdorf;2003/2004
76;2004-1-1;Garmisch-Partenkirchen;2003/2004
77;2004-1-4;Innsbruck;2003/2004
78;2004-1-6;Bischofshofen;2003/2004
79;2004-1-10;Liberec;2003/2004
80;2004-1-11;Liberec;2003/2004
81;2004-1-17;Zakopane;2003/2004
82;2004-1-18;Zakopane;2003/2004
83;2004-1-23;Hakuba;2003/2004
84;2004-1-24;Sapporo;2003/2004
85;2004-1-25;Sapporo;2003/2004
86;2004-2-7;Oberstdorf (loty);2003/2004
87;2004-2-14;Willingen;2003/2004
88;2004-2-28;Park City;2003/2004
89;2004-3-7;Lahti;2003/2004
90;2004-3-10;Kuopio;2003/2004
91;2004-3-12;Lillehammer;2003/2004
92;2004-3-14;Oslo;2003/2004
93;2004-11-27;Kuusamo;2004/2005
94;2004-11-28;Kuusamo;2004/2005
95;2004-12-4;Trondheim;2004/2005
96;2004-12-5;Trondheim;2004/2005
97;2004-12-11;Harrachov;2004/2005
98;2004-12-12;Harrachov;2004/2005
99;2004-12-18;Engelberg;2004/2005
100;2004-12-19;Engelberg;2004/2005
101;2004-12-29;Oberstdorf;2004/2005
102;2005-1-1;Garmisch-Partenkirchen;2004/2005
103;2005-1-3;Innsbruck;2004/2005
104;2005-1-6;Bischofshofen;2004/2005
105;2005-1-9;Willingen;2004/2005
106;2005-1-15;Bad Mitterndorf;2004/2005
107;2005-1-16;Bad Mitterndorf;2004/2005
108;2005-1-22;Neustadt;2004/2005
109;2005-1-23;Neustadt;2004/2005
110;2005-1-29;Zakopane;2004/2005
111;2005-1-30;Zakopane;2004/2005
112;2005-2-5;Sapporo;2004/2005
113;2005-2-6;Sapporo;2004/2005
114;2005-2-11;Pragelato;2004/2005
115;2005-3-6;Lahti;2004/2005
116;2005-3-9;Kuopio;2004/2005
117;2005-3-11;Lillehammer;2004/2005
118;2005-3-13;Oslo;2004/2005
119;2005-3-19;Planica;2004/2005
120;2005-3-20;Planica;2004/2005
121;2005-11-26;Kuusamo;2005/2006
122;2005-11-26;Kuusamo;2005/2006
123;2005-12-3;Lillehammer;2005/2006
124;2005-12-4;Lillehammer;2005/2006
125;2005-12-10;Harrachov;2005/2006
126;2005-12-11;Harrachov;2005/2006
127;2005-12-18;Engelberg;2005/2006
128;2005-12-29;Oberstdorf;2005/2006
129;2006-1-1;Garmisch-Partenkirchen;2005/2006
130;2006-1-4;Innsbruck;2005/2006
131;2006-1-6;Bischofshofen;2005/2006
132;2006-1-21;Sapporo;2005/2006
133;2006-1-22;Sapporo;2005/2006
134;2006-1-28;Zakopane;2005/2006
135;2006-1-29;Zakopane;2005/2006
136;2006-2-4;Willingen;2005/2006
137;2006-3-5;Lahti;2005/2006
138;2006-3-7;Kuopio;2005/2006
139;2006-3-10;Lillehammer;2005/2006
140;2006-3-12;Oslo;2005/2006
141;2006-3-18;Planica;2005/2006
142;2006-3-19;Planica;2005/2006
143;2006-11-24;Kuusamo;2006/2007
144;2006-12-2;Lillehammer;2006/2007
145;2006-12-3;Lillehammer;2006/2007
146;2006-12-16;Engelberg;2006/2007
147;2006-12-17;Engelberg;2006/2007
148;2006-12-30;Oberstdorf;2006/2007
149;2007-1-1;Garmisch-Partenkirchen;2006/2007
150;2007-1-4;Innsbruck;2006/2007
151;2007-1-7;Bischofshofen;2006/2007
152;2007-1-13;Vikersund;2006/2007
153;2007-1-20;Zakopane;2006/2007
154;2007-1-27;Oberstdorf;2006/2007
155;2007-1-28;Oberstdorf;2006/2007
156;2007-2-3;Neustadt;2006/2007
157;2007-2-4;Neustadt;2006/2007
158;2007-2-7;Klingenthal;2006/2007
159;2007-2-10;Willingen;2006/2007
160;2007-3-11;Lahti;2006/2007
161;2007-3-13;Kuopio;2006/2007
162;2007-3-17;Oslo;2006/2007
163;2007-3-18;Oslo;2006/2007
164;2007-3-23;Planica;2006/2007
165;2007-3-24;Planica;2006/2007
166;2007-3-25;Planica;2006/2007
167;2007-12-1;Kuusamo;2007/2008
168;2007-12-8;Trondheim;2007/2008
169;2007-12-9;Trondheim;2007/2008
170;2007-12-13;Villach;2007/2008
171;2007-12-14;Villach;2007/2008
172;2007-12-22;Engelberg;2007/2008
173;2007-12-23;Engelberg;2007/2008
174;2007-12-30;Oberstdorf;2007/2008
175;2008-1-1;Garmisch-Partenkirchen;2007/2008
176;2008-1-5;Bischofshofen;2007/2008
177;2008-1-6;Bischofshofen;2007/2008
178;2008-1-12;Val di Fiemme;2007/2008
179;2008-1-13;Val di Fiemme;2007/2008
180;2008-1-19;Harrachov;2007/2008
181;2008-1-25;Zakopane;2007/2008
182;2008-1-27;Zakopane;2007/2008
183;2008-2-2;Sapporo;2007/2008
184;2008-2-3;Sapporo;2007/2008
185;2008-2-8;Liberec;2007/2008
186;2008-2-9;Liberec;2007/2008
187;2008-2-17;Willingen;2007/2008
188;2008-3-3;Kuopio;2007/2008
189;2008-3-4;Kuopio;2007/2008
190;2008-3-7;Lillehammer;2007/2008
191;2008-3-9;Oslo;2007/2008
192;2008-3-14;Planica;2007/2008
193;2008-3-16;Planica;2007/2008
194;2008-11-29;Kuusamo;2008/2009
195;2008-12-6;Trondheim;2008/2009
196;2008-12-7;Trondheim;2008/2009
197;2008-12-13;Pragelato;2008/2009
198;2008-12-14;Pragelato;2008/2009
199;2008-12-20;Engelberg;2008/2009
200;2008-12-21;Engelberg;2008/2009
201;2008-12-29;Oberstdorf;2008/2009
202;2009-1-1;Garmisch-Partenkirchen;2008/2009
203;2009-1-4;Innsbruck;2008/2009
204;2009-1-6;Bischofshofen;2008/2009
205;2009-1-10;Bad Mitterndorf;2008/2009
206;2009-1-11;Bad Mitterndorf;2008/2009
207;2009-1-16;Zakopane;2008/2009
208;2009-1-17;Zakopane;2008/2009
209;2009-1-24;Whistler;2008/2009
210;2009-1-25;Whistler;2008/2009
211;2009-1-31;Sapporo;2008/2009
212;2009-2-8;Willingen;2008/2009
213;2009-2-11;Klingenthal;2008/2009
214;2009-2-14;Oberstdorf (loty);2008/2009
215;2009-3-8;Lahti;2008/2009
216;2009-3-10;Kuopio;2008/2009
217;2009-3-13;Lillehammer;2008/2009
218;2009-3-15;Vikersund;2008/2009
219;2009-3-20;Planica;2008/2009
220;2009-3-22;Planica;2008/2009
221;2009-11-28;Kuusamo;2009/2010
222;2009-12-5;Lillehammer;2009/2010
223;2009-12-6;Lillehammer;2009/2010
224;2009-12-18;Engelberg;2009/2010
225;2009-12-19;Engelberg;2009/2010
226;2009-12-20;Engelberg;2009/2010
227;2009-12-29;Oberstdorf;2009/2010
228;2010-1-1;Garmisch-Partenkirchen;2009/2010
229;2010-1-3;Innsbruck;2009/2010
230;2010-1-6;Bischofshofen;2009/2010
231;2010-1-9;Bad Mitterndorf;2009/2010
232;2010-1-10;Bad Mitterndorf;2009/2010
233;2010-1-16;Sapporo;2009/2010
234;2010-1-17;Sapporo;2009/2010
235;2010-1-22;Zakopane;2009/2010
236;2010-1-23;Zakopane;2009/2010
237;2010-1-31;Oberstdorf (loty);2009/2010
238;2010-2-3;Klingenthal;2009/2010
239;2010-2-6;Willingen;2009/2010
240;2010-3-7;Lahti;2009/2010
241;2010-3-9;Kuopio;2009/2010
242;2010-3-12;Lillehammer;2009/2010
243;2010-3-14;Oslo;2009/2010
