id_zawodnika;nazwisko_i_imie;panstwo
58;GRILLHOESL Christoph;Niemcy
59;GRIMHOLM Isak;Szwecja
60;HAFELE Mathias;Austria
61;HAJEK Antonin;Czechy
62;HAKOLA Lauri;Finlandia
63;HANNAWALD Sven;Niemcy
64;HANSEN Kim-Roar;Norwegia
65;HAPPONEN Janne;Finlandia
66;HARADA Masahiko;Japonia
67;HAUTAMAEKI Jussi;Finlandia
68;HAUTAMAEKI Matti;Finlandia
69;HAYBOECK Michael;Austria
70;HERR Alexander;Niemcy
71;HIGASHI Akira;Japonia
72;HILDE Tom;Norwegia
73;HILDE Tom;Norwegia
74;HLAVA Jakub;Czechy
75;HLAVA Lukas;Czechy
76;HOCKE Stephan;Niemcy
77;HOELLWARTH Martin;Austria
78;HORLACHER Kevin;Niemcy
79;HORNGACHER Stefan;Austria
80;HRGOTA Robert;Slowenia
81;HULA Stefan;Polska
82;HUUSKONEN Lassi;Finlandia
83;ICHINOHE Tsuyoshi;Japonia
84;IKONEN Joonas;Finlandia
85;INGEBRIGTSEN Tommy;Norwegia
86;INNAUER Mario;Austria
87;IPATOV Dimitri;Rosja
88;ITO Daiki;Japonia
89;ITO Kenshiro;Japonia
90;JAAFS Kristoffer;Szwecja
91;JACOBSEN Anders;Norwegia
92;JAEKLE Hansjoerg;Niemcy
93;JANDA Jakub;Czechy
94;JIROUTEK Jakub;Czechy
95;JOHNSON Anders;USA
96;JONES Clint;USA
97;JURIS Jaan;Estonia
98;JUSSILAINEN Risto;Finlandia
99;KAISER Stefan;Austria
100;KALINITSCHENKO Anton;Rosja
101;KALTENBOECK Bastian;Austria
102;KANEKO Yusuke;Japonia
103;KANG Chil Gu;Korea
104;KANTEE Ville;Finlandia
105;KARAULOV Ivan;Kazachstan
106;KARELIN Pavel;Rosja
107;KARPENKO Nikolay;Kazachstan
108;KASAI Noriaki;Japonia
109;KEITURI Kalle;Finlandia
110;KIM Hyun-Ki;Korea
111;KIURU Tami;Finlandia
112;KOBELEV Valery;Rosja
113;KOCH Martin;Austria
114;KOFLER Andreas;Austria
115;KOKKONEN Akseli;Norwegia
116;KORNILOV Denis;Rosja
117;KOROLEV Alex;Kazachstan
118;KOUDELKA Roman;Czechy
119;KOVALJEFF Kai;Finlandia
120;KRANJEC Robert;Slowenia
121;KREUZER Christoph;Holandia
122;KRUCZEK Lukasz;Polska
123;KUETTEL Andreas;Szwajcaria
124;LACKNER Daniel;Austria
125;LANDERT Guido;Szwajcaria
126;LAPPI Arttu;Finlandia
127;LARINTO Ville;Finlandia
128;LAZAROVYCH Oleksandr;Ukraina
129;LAZZARONI David;Francja
130;LIE Haavard;Norwegia
131;LIEGL Florian;Austria
132;LINDSTROEM Veli-Matti;Finlandia
133;LJOEKELSOEY Roar;Norwegia
134;LOEFFLER Frank;Niemcy
135;LOITZL Wolfgang;Austria
136;MALYSZ Adam;Polska
138;MATEJA Robert;Polska
139;MATURA Jan;Czechy
140;MAYER Nicolas;Francja
141;MAYR Ingemar;Holandia
142;MAZOCH Jan;Czechy
143;MAZOCH Jiri;Czechy
144;MECHLER Maximilian;Niemcy
145;MEDVED Igor;Slowenia
146;MESIK Martin;Slowacja
147;METZLER Bernhard;Austria
148;MEZNAR Mitja;Slowenia
149;MIETUS Grzegorz;Polska
150;MIETUS Krzysztof;Polska
151;MIYAHIRA Hideharu;Japonia
152;MOELLINGER Michael;Szwajcaria
153;MORASSI Andrea;Wlochy
154;MORGENSTERN Thomas;Austria
155;MUELLER Lukas;Austria
156;MUELLER Roland;Austria
157;MUNTERS Johan;Szwecja
158;MUOTKA Olli;Finlandia
159;MUSIOL Julian;Niemcy
160;NAGILLER Christian;Austria
161;NAKAMURA Kazuhiro;Japonia
162;NEUMAYER Michael;Niemcy
163;NIEMI Sami;Finlandia
164;NIEMINEN Toni;Finlandia
165;OKABE Takanobu;Japonia
166;OKAMURA Sota;Japonia
167;OLLI Harri;Finlandia
168;OTTESEN Lasse;Norwegia
169;PAULI Arthur;Austria
170;PETERKA Primoz;Slowenia
171;PETTERSEN Sigurd;Norwegia
172;PIEPER Stefan;Niemcy
173;PIKL Primoz;Slowenia
174;POCHWALA Tomasz;Polska
175;PREVC Peter;Slowenia
176;RADELJ Jure;Slowenia
177;READ Stefan;Kanada
178;REICHEL Frank;Niemcy
179;REMY Maxime;Francja
180;RENE ELVERUM SORSELL Kim;Norwegia
181;RITZERFELD Joerg;Niemcy
182;ROENSEN Atle Pedersen;Norwegia
183;ROMOEREN Bjoern-Einar;Norwegia
184;ROSLIAKOV Ilja;Rosja
185;RUTKOWSKI Lukasz;Polska
186;RUTKOWSKI Mateusz;Polska
187;RUUSKANEN Juha-Matti;Finlandia
188;SAITO Hiroya;Japonia
189;SAKALA Jaroslav;Czechy
190;SAKANO Yukio;Japonia
191;SAKUYAMA Kento;Japonia
192;SALMINEN Pekka;Finlandia
193;SALUMAE Jens;Estonia
194;SANTIAGO Remi;Francja
195;SCHABEREITER Florian;Austria
196;SCHLIERENZAUER Gregor;Austria
197;SCHMITT Martin;Niemcy
198;SCHNEIDER Balthasar;Austria
199;SCHOFT Felix;Niemcy
200;SCHWARZENBERGER Reinhard;Austria
201;SEDLAK Borek;Czechy
202;SHUMBARETS Vitaliy;Ukraina
203;SILAEV Alexei;Rosja
204;SIMON Erik;Niemcy
205;SINKOVEC Jure;Slowenia
206;SKLETT Vegard-Haukoe;Norwegia
207;SKUPIEN Wojciech;Polska
208;SOININEN Jani;Finlandia
209;SOLEM Morten;Norwegia
210;SPAETH Georg;Niemcy
211;STEINAUER Marco;Szwajcaria
212;STENSRUD Henning;Norwegia
213;STJERNEN Andreas;Norwegia
214;STOCH Kamil;Polska
215;STOERL Dennis;Niemcy
216;SLIZ Rafal;Polska
217;TAJNER Tomislaw;Polska
218;TAJNER Wojciech;Polska
219;TAKANO Teppei;Japonia
220;TAKEUCHI Taku;Japonia
221;TAKHTAKHUNOV Assan;Kazachstan
222;TEPES Jurij;Slowenia
223;THURNBICHLER Stefan;Austria
224;TOCHIMOTO Shohhei;Japonia
225;UENO Shingo;Japonia
226;UHRMANN Michael;Niemcy
227;ULMER Christian;Niemcy
228;URBANC Rok;Slowenia
229;URH-ZUPAN Primoz;Slowenia
230;VACULIK Ondrej;Czechy
231;VASSILIEV Dimitry;Rosja
232;VILBERG Andreas;Norwegia
233;VRHOVNIK Blaz;Slowenia
234;WANK Andreas;Niemcy
235;WATASE Yuta;Japonia
236;WIDHOELZL Andreas;Austria
237;YAMADA Hiroki;Japonia
238;YLIJAERVI Janne;Finlandia
239;YLIRIESTO Kimmo;Finlandia
240;YOSHIOKA Kazuya;Japonia
241;YUMOTO Fumihisa;Japonia
242;ZAUNER David;Austria
243;ZHAPAROV Radik;Kazachstan
244;ZONTA Peter;Slowenia
245;ZUPAN Bine;Slowenia
246;ZYLA Piotr;Polska
