id_rezerwacji	id_osoby	id_wycieczki	dorosli	dzieci
106	235	175	2	4
107	399	75	4	0
108	341	17	2	0
109	216	191	1	1
110	151	327	2	0
111	240	602	1	0
112	220	38	1	1
113	320	225	3	0
114	224	2	2	2
115	38	268	2	2
116	103	806	1	2
117	550	1005	2	2
118	177	394	1	1
119	191	847	2	1
120	44	705	2	2
121	437	628	2	0
122	285	1012	2	0
123	538	868	2	0
124	260	899	1	1
125	71	562	2	1
126	377	336	2	2
127	54	810	2	0
128	261	490	2	1
129	97	840	2	1
130	218	46	2	1
131	185	657	2	0
132	134	1087	1	2
133	171	421	2	0
134	380	137	2	2
135	266	431	2	0
136	173	1023	2	2
137	482	759	3	2
138	78	925	2	1
139	469	671	2	0
140	159	934	1	1
141	258	985	3	1
142	132	105	2	1
143	400	49	1	1
144	202	281	2	0
145	431	115	2	2
146	385	152	1	2
147	417	49	4	0
148	322	442	1	1
149	511	135	1	0
150	184	692	2	0
151	320	678	3	0
152	310	786	3	1
153	347	64	2	1
154	180	446	2	0
155	307	162	2	2
156	428	483	2	2
157	474	993	3	0
158	75	657	2	1
159	304	324	1	1
160	298	305	3	1
161	521	656	3	0
162	442	1111	4	2
163	344	356	3	1
164	261	596	1	2
165	349	1075	3	1
166	138	678	2	0
167	164	1024	2	0
168	87	857	1	1
169	113	316	2	2
170	331	637	1	1
171	178	734	2	2
172	160	426	2	0
173	475	1024	4	1
174	318	1072	1	1
175	292	694	1	0
176	117	1028	2	2
177	106	230	2	2
178	326	186	3	1
179	59	141	2	1
180	279	288	2	0
181	269	687	2	2
182	212	284	2	2
183	328	1002	2	2
184	417	220	4	1
185	34	272	2	0
186	163	35	2	0
187	398	37	3	2
188	126	784	1	2
189	128	1107	2	0
190	368	241	1	0
191	78	277	1	0
192	546	886	3	1
193	422	563	1	2
194	334	37	2	1
195	515	272	1	2
196	236	655	2	4
197	136	1005	1	1
198	304	1019	1	1
199	124	51	2	1
200	367	631	3	2
201	402	287	2	2
202	113	859	2	0
203	177	76	2	0
204	230	574	2	1
205	481	18	4	1
206	98	815	1	2
207	477	748	2	1
208	491	89	2	1
209	21	527	2	2
210	313	49	3	1
211	37	1058	1	1
212	474	224	4	0
213	525	260	4	1
214	243	628	2	0
215	110	304	2	1
216	63	835	2	2
217	404	205	3	2
218	426	33	3	0
219	395	510	3	1
220	399	376	4	2
221	79	604	1	2
222	517	547	3	2
223	183	994	2	1
224	98	194	2	1
225	211	838	2	0
226	295	660	3	0
227	14	895	1	2
228	409	335	2	1
229	40	406	1	2
230	80	95	2	1
231	299	968	2	0
232	293	352	2	0
233	235	903	2	2
234	228	959	2	2
235	319	557	3	0
236	359	986	2	0
237	529	706	4	2
238	376	915	2	2
239	467	45	3	2
240	74	316	2	1
241	490	1099	3	2
242	489	190	1	2
243	284	1080	3	2
244	86	129	2	0
245	43	864	2	0
246	134	396	2	4
247	430	732	2	2
248	20	994	2	0
249	12	143	2	0
250	439	1062	2	2
251	90	977	1	1
252	468	334	2	0
253	189	962	1	0
254	108	218	2	2
255	319	75	2	0
256	438	310	2	0
257	180	533	1	2
258	87	77	2	1
259	115	795	2	0
260	140	20	2	1
261	363	359	2	1
262	50	608	1	1
263	337	1090	3	0
264	27	1060	2	0
265	433	4	1	0
266	245	81	2	2
267	416	999	4	0
268	476	468	1	2
269	198	936	2	1
270	462	59	2	0
271	191	381	2	0
272	150	237	1	2
273	426	595	2	0
274	194	174	2	0
275	499	876	3	1
276	127	665	2	1
277	432	802	2	1
278	35	483	2	0
279	260	229	3	1
280	388	434	3	2
281	36	547	2	0
282	233	900	2	2
283	542	821	4	2
284	315	921	2	0
285	332	680	1	2
286	328	633	3	0
287	218	461	2	1
288	433	140	1	1
289	328	56	2	1
290	172	368	2	0
291	380	624	2	2
292	186	7	2	2
293	535	776	2	0
294	11	967	2	4
295	450	123	1	1
296	249	725	1	1
297	465	882	3	0
298	128	289	2	1
299	122	880	1	2
300	119	686	2	2
301	514	800	3	2
302	251	723	2	2
303	168	772	2	2
304	463	317	3	0
305	389	935	1	0
306	301	870	2	1
307	305	276	1	1
308	464	260	4	1
309	364	1104	2	2
310	368	1009	1	1
311	320	440	1	2
312	23	855	1	0
313	3	763	2	2
314	362	589	2	1
315	321	1031	3	1
316	342	464	3	1
317	17	580	1	1
318	68	919	1	1
319	491	976	1	1
320	341	248	2	1
321	166	870	1	0
322	523	367	3	0
323	392	669	4	2
324	144	460	2	0
325	428	118	2	1
326	146	805	2	2
327	148	406	2	2
328	491	35	2	0
329	76	1053	1	1
330	179	228	2	2
331	242	695	2	1
332	56	893	2	2
333	274	812	2	1
334	326	609	3	1
335	485	678	3	1
336	397	545	3	0
337	430	322	2	2
338	454	865	4	1
339	387	10	2	1
340	505	679	1	1
341	244	955	3	0
342	321	268	1	0
343	209	434	2	1
344	115	1047	2	2
345	417	1107	4	1
346	489	919	2	2
347	211	88	1	2
348	334	303	2	1
349	472	271	1	2
350	48	569	2	2
351	93	570	1	0
352	423	532	2	1
353	389	570	2	0
354	433	594	1	1
355	284	756	2	2
356	478	75	1	0
357	182	149	2	1
358	345	979	2	0
359	343	975	1	0
360	210	829	2	2
361	425	502	1	1
362	332	66	2	1
363	305	986	3	0
364	91	589	2	0
365	306	190	2	1
366	203	82	1	0
367	189	867	2	0
368	277	24	2	0
369	483	640	3	0
370	103	444	1	1
371	491	263	3	0
372	273	377	2	2
373	169	173	2	0
374	217	99	2	0
375	151	923	1	1
376	302	782	2	1
377	423	641	3	0
378	378	624	1	0
379	390	247	1	2
380	57	1057	2	2
381	304	71	2	1
382	543	726	1	1
383	244	115	3	0
384	225	126	2	2
385	545	983	1	2
386	13	453	2	2
387	85	900	2	1
388	495	299	4	0
389	145	603	2	2
390	414	1036	2	2
391	382	57	1	2
392	25	1019	1	1
393	353	819	1	1
394	388	350	3	1
395	88	539	2	2
396	210	1059	2	0
397	50	75	2	1
398	271	435	1	2
399	460	812	1	2
400	275	438	3	1
401	366	848	1	1
402	163	643	2	2
403	226	254	2	2
404	510	801	4	1
405	221	1065	2	4
406	375	214	2	0
407	276	130	2	0
408	108	645	2	1
409	222	497	2	0
410	103	992	1	0
411	34	1020	2	0
412	480	1020	4	1
413	373	1007	2	0
414	51	1078	1	1
415	471	1064	2	0
416	94	579	2	1
417	156	148	2	0
418	411	327	2	1
419	15	561	2	2
420	323	805	2	1
421	208	1081	2	1
422	547	854	2	0
423	354	820	2	1
424	245	769	1	1
425	50	626	2	0
426	181	753	2	0
427	150	997	2	1
428	161	804	1	2
429	440	717	3	0
430	205	521	2	1
431	387	859	2	1
432	145	513	1	0
433	448	991	4	2
434	83	533	2	1
435	324	62	3	1
436	480	463	1	0
437	61	1098	2	2
438	257	206	2	2
439	359	1112	3	0
440	163	271	2	2
441	423	882	3	0
442	75	1016	1	1
443	442	747	2	0
444	312	951	2	0
445	432	828	2	2
446	167	74	2	2
447	496	266	1	2
448	118	553	2	0
449	267	1029	3	2
450	130	411	2	4
451	18	141	2	0
452	456	837	3	0
453	129	184	2	4
454	113	413	2	1
455	61	76	1	2
456	451	980	1	1
457	282	19	1	1
458	449	1057	1	1
459	246	1012	3	0
460	295	881	3	2
461	512	343	4	2
462	487	170	3	0
463	6	331	2	4
464	314	162	2	2
465	152	302	2	1
466	493	701	1	0
467	112	1085	2	1
468	53	58	2	2
469	26	879	1	0
470	448	638	4	2
471	366	1079	3	1
472	297	146	3	2
473	46	729	1	2
474	149	976	2	2
475	416	1115	1	1
476	509	286	2	0
477	168	443	2	0
478	371	626	1	2
479	342	748	2	1
480	409	815	3	0
481	84	768	2	0
482	100	349	1	0
483	522	100	2	1
484	3	542	2	2
485	319	844	2	0
486	366	721	2	0
487	248	569	2	0
488	231	809	2	1
489	188	923	2	1
490	391	337	2	1
491	307	220	2	0
492	544	880	2	0
493	201	788	2	1
494	145	257	2	2
495	121	685	2	0
496	74	427	2	1
497	160	216	1	0
498	100	166	2	2
499	379	579	3	0
500	97	1116	2	2
501	179	298	2	0
502	67	773	2	2
503	195	972	2	1
504	311	1072	1	1
505	424	507	4	1
506	541	534	3	2
507	530	274	2	0
508	104	191	1	1
509	403	601	2	0
510	520	282	2	0
511	90	1062	2	2
512	161	354	2	1
513	379	759	1	1
514	241	884	2	4
515	69	995	2	2
516	457	851	1	1
517	507	461	3	0
518	464	673	3	0
519	304	870	2	0
520	169	981	2	0
521	248	64	2	1
522	204	620	1	0
523	371	1001	1	1
524	44	554	1	0
525	330	633	2	0
526	203	569	2	1
527	393	722	2	2
528	277	23	3	0
529	161	473	2	2
530	56	719	1	0
531	426	958	2	1
532	181	566	2	1
533	184	739	2	2
534	278	273	2	0
535	253	1116	1	2
536	263	307	2	0
537	40	687	2	1
538	101	219	2	1
539	256	336	3	0
540	333	599	3	0
541	345	1110	2	2
542	123	389	1	0
543	311	802	1	2
544	63	107	1	1
545	45	277	1	2
546	24	421	2	1
547	548	758	2	1
548	280	395	2	2
549	279	1041	2	0
550	404	427	1	2
551	39	1034	2	1
552	497	247	1	0
553	145	796	2	0
554	340	728	1	2
555	157	44	2	1
556	24	927	1	2
557	518	708	1	1
558	467	764	4	2
559	366	331	2	2
560	500	493	3	0
561	132	810	2	1
562	101	1053	2	0
563	154	1004	2	0
564	508	235	4	0
565	144	860	2	0
566	282	946	2	1
567	137	270	1	2
568	82	66	2	0
569	317	937	3	2
570	359	1013	1	0
571	533	662	3	1
572	268	961	3	1
573	19	363	2	0
574	371	15	2	0
575	453	888	4	0
576	92	813	2	1
577	170	373	2	2
578	10	455	2	1
579	200	280	2	0
580	446	321	1	0
581	89	772	2	2
582	420	337	3	0
583	108	416	2	1
584	269	302	1	0
585	479	425	4	1
586	494	26	1	0
587	137	248	1	0
588	408	1063	1	2
589	324	788	3	0
590	133	427	2	0
591	362	811	1	1
592	193	759	1	2
593	435	485	3	0
594	275	998	2	0
595	211	604	2	2
596	443	1065	4	0
597	296	229	2	0
598	54	940	2	2
599	247	59	2	0
600	289	970	3	0
601	384	975	1	0
602	69	575	1	1
603	402	991	4	1
604	49	205	1	1
605	300	807	3	1
606	87	389	1	0
607	360	1121	2	1
608	194	600	1	0
609	5	934	2	0
610	459	921	2	0
611	503	363	2	0
612	498	325	3	2
613	347	903	1	2
614	316	600	1	2
615	352	406	1	1
616	309	166	2	2
617	452	684	4	2
618	66	1103	2	2
619	372	134	2	1
620	397	764	3	2
621	22	524	2	2
622	432	958	2	2
623	190	497	1	2
624	351	505	2	1
625	38	231	2	2
626	77	548	2	0
627	105	880	2	1
628	164	672	2	2
629	30	141	2	2
630	439	685	1	0
631	534	176	1	2
632	322	664	1	0
633	149	188	2	0
634	109	397	1	1
635	226	93	2	2
636	65	810	2	1
637	436	100	1	0
638	457	832	1	2
639	304	1097	1	1
640	488	401	1	2
641	208	521	2	0
642	303	82	2	0
643	528	403	1	2
644	469	630	2	1
645	470	822	3	2
646	40	424	1	2
647	4	869	2	4
648	232	807	2	1
649	410	379	2	2
650	342	592	3	1
651	18	975	1	1
652	270	566	2	0
653	549	1119	2	2
654	382	406	2	0
655	89	327	2	2
656	182	457	2	2
657	312	126	2	1
658	299	897	1	0
659	141	990	1	2
660	461	935	4	2
661	13	976	2	2
662	447	437	2	2
663	295	954	2	0
664	39	19	2	0
665	359	715	2	2
666	435	192	4	2
667	467	197	1	1
668	162	653	2	1
669	50	645	2	1
670	345	397	1	1
671	452	324	1	1
672	70	809	1	1
673	394	673	4	2
674	191	1107	2	1
675	138	957	2	0
676	36	416	1	2
677	281	91	3	1
678	401	147	2	0
679	174	897	2	1
680	153	1042	2	0
681	147	974	2	1
682	224	364	2	4
683	430	109	2	2
684	202	967	1	1
685	267	540	2	1
686	437	945	3	0
687	122	447	2	1
688	165	131	2	1
689	415	239	2	1
690	216	556	1	1
691	298	285	3	1
692	442	1043	2	0
693	245	591	2	1
694	66	674	1	0
695	537	1038	2	0
696	402	894	2	0
697	42	653	2	1
698	6	575	1	0
699	381	639	1	0
700	29	45	2	1
701	440	1068	4	2
702	214	654	2	1
703	227	367	1	1
704	309	669	1	2
705	540	830	2	0
706	90	55	2	2
707	372	881	2	0
708	183	329	2	2
709	266	371	2	0
710	327	445	2	1
711	369	747	3	1
712	32	69	2	2
713	102	170	2	1
714	350	14	2	0
715	110	1079	2	0
716	255	392	2	1
717	298	191	2	2
718	423	125	1	0
719	263	945	1	2
720	347	1062	2	1
721	131	506	2	4
722	58	939	2	2
723	325	629	3	0
724	60	994	2	2
725	294	345	2	2
726	435	1039	3	0
727	73	676	2	1
728	434	1115	3	2
729	472	573	1	0
730	185	871	2	2
731	348	134	2	0
732	83	791	2	1
733	178	1008	2	2
734	12	1044	2	0
735	207	334	2	2
736	71	138	2	0
737	200	832	2	0
738	319	1074	1	2
739	155	872	2	0
740	159	726	2	2
741	374	785	2	0
742	283	472	1	1
743	287	298	1	1
744	421	1075	2	2
745	526	382	3	2
746	125	1040	2	1
747	527	884	3	2
748	192	628	2	0
749	524	779	1	1
750	284	95	3	0
751	135	605	1	1
752	196	288	1	0
753	289	7	2	2
754	440	203	3	1
755	417	726	2	0
756	205	444	2	0
757	187	139	2	0
758	337	322	2	0
759	190	435	2	0
760	531	945	4	0
761	339	68	3	0
762	357	731	2	2
763	326	755	2	0
764	215	819	2	2
765	415	577	2	0
766	43	709	1	2
767	466	183	3	2
768	374	702	3	2
769	96	1053	2	2
770	172	581	2	1
771	370	367	1	0
772	197	478	2	0
773	194	333	2	0
774	209	143	2	2
775	375	687	2	2
776	72	517	2	1
777	294	32	2	2
778	254	746	2	2
779	135	788	2	0
780	120	6	1	0
781	49	993	2	1
782	88	675	2	2
783	21	381	2	1
784	436	872	1	2
785	361	459	2	0
786	9	788	2	4
787	472	422	3	0
788	238	651	2	0
789	74	1044	1	2
790	143	836	2	4
791	92	943	1	1
792	123	1010	1	2
793	451	628	2	0
794	147	97	1	2
795	458	1025	2	1
796	386	1053	2	0
797	132	557	2	4
798	223	581	2	2
799	218	192	2	2
800	356	464	1	0
801	400	499	4	0
802	330	318	2	1
803	59	82	2	2
804	221	77	1	2
805	348	386	2	0
806	31	457	2	1
807	223	983	1	0
808	335	960	2	1
809	455	234	4	1
810	280	668	2	0
811	158	194	2	2
812	420	1027	1	2
813	26	694	1	0
814	82	44	2	0
815	506	768	4	2
816	288	119	3	0
817	228	142	2	1
818	231	921	2	4
819	116	828	2	1
820	338	95	2	1
821	111	715	2	0
822	349	375	1	0
823	470	224	3	0
824	80	850	2	2
825	35	768	2	0
826	390	896	2	2
827	16	1075	2	0
828	52	668	1	1
829	253	267	2	2
830	175	614	2	0
831	8	156	2	4
832	220	1077	1	0
833	1	1079	2	4
834	242	1035	1	0
835	422	28	1	1
836	358	423	3	0
837	230	225	2	1
838	403	866	4	1
839	105	826	2	0
840	357	722	1	0
841	482	559	4	0
842	412	934	1	2
843	33	567	2	1
844	234	437	2	1
845	519	949	4	0
846	36	518	1	1
847	10	859	2	4
848	81	316	2	2
849	430	421	2	0
850	254	563	1	1
851	62	410	1	1
852	206	681	2	2
853	51	742	2	0
854	418	953	4	0
855	150	81	2	1
856	142	923	2	4
857	107	895	2	2
858	308	704	2	0
859	259	49	3	2
860	539	837	2	2
861	210	889	1	2
862	32	987	2	2
863	436	1059	3	2
864	413	1017	2	0
865	420	760	2	2
866	383	230	2	1
867	450	285	3	1
868	264	430	2	1
869	230	112	2	1
870	367	702	2	1
871	407	585	1	2
872	513	129	2	1
873	315	811	3	0
874	441	989	4	1
875	280	736	2	1
876	170	254	1	2
877	219	676	2	1
878	59	539	2	2
879	76	274	2	2
880	286	1028	2	2
881	199	880	2	1
882	427	68	3	0
883	156	942	2	2
884	175	485	2	2
885	397	513	4	1
886	336	588	2	0
887	65	1073	2	0
888	296	456	2	2
889	334	464	3	2
890	332	196	2	2
891	536	939	1	0
892	91	1056	1	2
893	187	220	1	0
894	122	914	2	2
895	17	835	2	2
896	79	146	2	1
897	167	222	2	1
898	486	538	4	0
899	107	15	2	1
900	406	902	2	0
