id_wycieczki	kraj	miejsce	wylot	data_od	data_do	cena
81	Hiszpania	Teneryfa	Katowice	2015-08-09	2015-08-16	2599
82	Grecja	Kreta	Katowice	2015-06-29	2015-07-13	3350
83	Egipt	Hurgada	Gdansk	2015-07-02	2015-07-09	1520
84	Egipt	Sharm El Sheikh	Katowice	2015-07-16	2015-07-26	1990
85	Hiszpania	Gran Canaria	Warszawa	2015-07-01	2015-07-08	1999
86	Bulgaria	Sveti Vlas	Katowice	2015-07-07	2015-07-21	1625
87	Maroko	Casablanca	Poznan	2015-06-30	2015-07-07	1925
88	Bulgaria	Sveti Vlas	Wroclaw	2015-06-22	2015-06-29	959
89	Tunezja	Mahdia	Katowice	2015-08-15	2015-08-29	3090
90	Hiszpania	Gran Canaria	Krakow	2015-07-08	2015-07-15	1999
91	Egipt	Hurgada	Katowice	2015-07-09	2015-07-16	1520
92	Maroko	Agadir	Gdansk	2015-07-03	2015-07-10	2125
93	Bulgaria	Sloneczny Brzeg	Poznan	2015-08-09	2015-08-23	1810
94	Hiszpania	Teneryfa	Gdansk	2015-07-20	2015-07-27	2599
95	Grecja	Rodos	Warszawa	2015-06-25	2015-07-02	1599
96	Tunezja	Djerba	Gdansk	2015-06-29	2015-07-13	1990
97	Maroko	Casablanca	Katowice	2015-07-07	2015-07-14	1925
98	Grecja	Kos	Krakow	2015-06-30	2015-07-07	1970
99	Bulgaria	Sveti Vlas	Warszawa	2015-07-15	2015-07-22	1059
100	Turcja	Belek	Lodz	2015-07-20	2015-08-03	2599
101	Hiszpania	Gran Canaria	Warszawa	2015-07-29	2015-08-12	4199
102	Egipt	Hurgada	Poznan	2015-07-03	2015-07-17	2625
103	Maroko	Casablanca	Gdansk	2015-07-02	2015-07-09	1925
104	Egipt	Marsa Alam	Poznan	2015-07-04	2015-07-11	1620
105	Egipt	Sharm El Sheikh	Katowice	2015-08-20	2015-08-31	2290
106	Tunezja	Djerba	Lodz	2015-06-30	2015-07-07	1190
107	Tunezja	Djerba	Gdansk	2015-06-29	2015-07-06	1190
108	Tunezja	Monastir	Katowice	2015-08-10	2015-08-17	1590
109	Grecja	Kos	Krakow	2015-06-30	2015-07-14	3490
110	Maroko	Agadir	Krakow	2015-07-08	2015-07-15	2125
111	Grecja	Kreta	Poznan	2015-06-28	2015-07-05	2150
112	Hiszpania	Teneryfa	Katowice	2015-08-30	2015-09-13	4299
113	Hiszpania	Teneryfa	Gdansk	2015-07-20	2015-08-03	4299
114	Egipt	Marsa Alam	Warszawa	2015-06-22	2015-06-29	1520
115	Egipt	Sharm El Sheikh	Wroclaw	2015-07-01	2015-07-08	1490
116	Tunezja	Nabeul	Poznan	2015-08-25	2015-09-08	1999
117	Maroko	Casablanca	Lodz	2015-07-04	2015-07-18	3349
118	Grecja	Kos	Lodz	2015-07-03	2015-07-17	3490
119	Hiszpania	Gran Canaria	Wroclaw	2015-07-05	2015-07-12	1999
120	Bulgaria	Sveti Vlas	Warszawa	2015-07-15	2015-07-29	1625
121	Bulgaria	Sloneczny Brzeg	Wroclaw	2015-07-15	2015-07-29	1625
122	Turcja	Belek	Warszawa	2015-07-07	2015-07-14	1269
123	Maroko	Casablanca	Warszawa	2015-07-10	2015-07-17	1925
124	Egipt	Sharm El Sheikh	Warszawa	2015-07-01	2015-07-08	1490
125	Bulgaria	Sveti Vlas	Warszawa	2015-07-22	2015-07-29	1059
126	Hiszpania	Fuerteventura	Katowice	2015-08-28	2015-09-08	2870
127	Tunezja	Monastir	Lodz	2015-07-02	2015-07-16	2490
128	Hiszpania	Teneryfa	Warszawa	2015-07-10	2015-07-17	2599
129	Maroko	Casablanca	Warszawa	2015-07-17	2015-07-31	3349
130	Bulgaria	Sloneczny Brzeg	Wroclaw	2015-07-15	2015-07-22	1050
131	Hiszpania	Gran Canaria	Gdansk	2015-07-08	2015-07-15	1999
132	Turcja	Belek	Warszawa	2015-07-21	2015-08-04	3109
133	Grecja	Kos	Krakow	2015-07-14	2015-07-21	1970
134	Grecja	Kos	Warszawa	2015-07-04	2015-07-11	1950
135	Maroko	Casablanca	Warszawa	2015-07-17	2015-07-24	1925
136	Grecja	Rodos	Gdansk	2015-06-29	2015-07-06	1599
137	Maroko	Casablanca	Warszawa	2015-07-24	2015-08-07	3349
138	Egipt	Marsa Alam	Wroclaw	2015-06-29	2015-07-13	2199
139	Bulgaria	Sloneczny Brzeg	Katowice	2015-08-12	2015-08-22	1510
140	Bulgaria	Sveti Vlas	Lodz	2015-06-17	2015-06-24	950
141	Tunezja	Nabeul	Warszawa	2015-07-20	2015-08-03	1999
142	Tunezja	Hammamet	Wroclaw	2015-06-15	2015-06-22	1390
143	Turcja	Kemer	Gdansk	2015-08-01	2015-08-08	1790
144	Grecja	Kreta	Krakow	2015-07-14	2015-07-21	2150
145	Tunezja	Mahdia	Gdansk	2015-07-05	2015-07-12	1370
146	Grecja	Rodos	Katowice	2015-06-25	2015-07-02	1599
147	Maroko	Agadir	Poznan	2015-06-28	2015-07-05	2125
148	Egipt	Marsa Alam	Warszawa	2015-07-06	2015-07-16	2160
149	Hiszpania	Gran Canaria	Lodz	2015-07-22	2015-07-29	1999
150	Grecja	Kreta	Poznan	2015-06-28	2015-07-12	3350
151	Hiszpania	Gran Canaria	Wroclaw	2015-08-02	2015-08-16	4199
152	Bulgaria	Sveti Vlas	Poznan	2015-06-15	2015-06-22	999
153	Turcja	Antalya	Gdansk	2015-06-27	2015-07-11	2269
154	Maroko	Casablanca	Krakow	2015-07-02	2015-07-16	3349
155	Grecja	Kreta	Lodz	2015-07-04	2015-07-11	2150
156	Egipt	Marsa Alam	Katowice	2015-08-26	2015-09-05	2955
157	Maroko	Casablanca	Wroclaw	2015-07-06	2015-07-13	1925
158	Tunezja	Sousse	Warszawa	2015-07-01	2015-07-08	959
159	Egipt	Marsa Alam	Katowice	2015-07-29	2015-08-09	3050
160	Egipt	Hurgada	Warszawa	2015-07-17	2015-07-27	1950
161	Bulgaria	Sloneczny Brzeg	Lodz	2015-07-09	2015-07-23	1725
162	Hiszpania	Majorka	Katowice	2015-08-10	2015-08-17	2450
163	Bulgaria	Sveti Vlas	Wroclaw	2015-06-22	2015-07-06	1625
164	Hiszpania	Fuerteventura	Wroclaw	2015-07-09	2015-07-20	2770
165	Egipt	Hurgada	Poznan	2015-07-17	2015-07-24	1520
166	Tunezja	Djerba	Lodz	2015-06-30	2015-07-14	1990
167	Hiszpania	Teneryfa	Gdansk	2015-07-27	2015-08-03	2599
168	Egipt	Marsa Alam	Gdansk	2015-07-03	2015-07-10	1590
169	Egipt	Sharm El Sheikh	Katowice	2015-08-06	2015-08-17	2290
170	Bulgaria	Sveti Vlas	Wroclaw	2015-06-29	2015-07-06	959
171	Grecja	Kreta	Krakow	2015-07-14	2015-07-28	3350
172	Grecja	Kos	Wroclaw	2015-07-02	2015-07-09	1950
173	Bulgaria	Sloneczny Brzeg	Krakow	2015-07-09	2015-07-23	1725
174	Egipt	Hurgada	Gdansk	2015-07-04	2015-07-18	2625
175	Turcja	Side	Krakow	2015-07-02	2015-07-16	2390
176	Tunezja	Monastir	Wroclaw	2015-07-26	2015-08-09	2490
177	Maroko	Agadir	Poznan	2015-07-05	2015-07-12	2125
178	Tunezja	Hammamet	Lodz	2015-08-01	2015-08-15	2790
179	Turcja	Alanya	Lodz	2015-06-30	2015-07-07	976
180	Bulgaria	Sloneczny Brzeg	Poznan	2015-08-09	2015-08-16	1250
181	Tunezja	Nabeul	Lodz	2015-07-21	2015-08-04	1999
182	Maroko	Agadir	Warszawa	2015-06-23	2015-06-30	2125
183	Maroko	Casablanca	Warszawa	2015-07-24	2015-07-31	1925
184	Tunezja	Mahdia	Wroclaw	2015-07-13	2015-07-27	2890
185	Grecja	Kos	Katowice	2015-06-22	2015-06-29	1870
186	Tunezja	Mahdia	Warszawa	2015-08-11	2015-08-25	3090
187	Maroko	Agadir	Krakow	2015-07-15	2015-07-22	2125
188	Grecja	Rodos	Gdansk	2015-06-29	2015-07-13	3299
189	Hiszpania	Teneryfa	Poznan	2015-07-20	2015-07-27	2599
190	Egipt	Sharm El Sheikh	Wroclaw	2015-07-15	2015-07-29	2659
191	Hiszpania	Gran Canaria	Gdansk	2015-07-15	2015-07-22	1999
192	Tunezja	Monastir	Gdansk	2015-07-01	2015-07-08	1390
193	Maroko	Agadir	Wroclaw	2015-06-22	2015-06-29	2125
194	Hiszpania	Majorka	Wroclaw	2015-07-11	2015-07-18	2250
195	Egipt	Marsa Alam	Katowice	2015-07-15	2015-07-26	2380
196	Tunezja	Sousse	Katowice	2015-07-01	2015-07-08	959
197	Turcja	Belek	Warszawa	2015-07-21	2015-07-28	1269
198	Grecja	Kreta	Gdansk	2015-07-05	2015-07-19	3350
199	Turcja	Alanya	Krakow	2015-06-22	2015-07-06	1525
200	Maroko	Casablanca	Krakow	2015-07-02	2015-07-09	1925
201	Turcja	Belek	Katowice	2015-07-01	2015-07-15	2599
202	Hiszpania	Gran Canaria	Poznan	2015-07-14	2015-07-21	1999
203	Maroko	Casablanca	Lodz	2015-07-04	2015-07-11	1925
204	Maroko	Agadir	Krakow	2015-07-22	2015-07-29	2125
205	Turcja	Belek	Gdansk	2015-09-01	2015-09-15	2399
206	Bulgaria	Sloneczny Brzeg	Warszawa	2015-06-17	2015-06-27	1350
207	Egipt	Hurgada	Warszawa	2015-07-31	2015-08-11	2150
208	Egipt	Hurgada	Wroclaw	2015-07-10	2015-07-17	1450
209	Egipt	Hurgada	Katowice	2015-07-09	2015-07-19	1950
210	Bulgaria	Sloneczny Brzeg	Poznan	2015-07-02	2015-07-16	1725
211	Turcja	Kemer	Lodz	2015-07-10	2015-07-24	3190
212	Turcja	Alanya	Krakow	2015-06-22	2015-06-29	976
213	Tunezja	Monastir	Gdansk	2015-08-26	2015-09-09	2690
214	Grecja	Kreta	Lodz	2015-07-04	2015-07-18	3350
215	Egipt	Sharm El Sheikh	Warszawa	2015-07-01	2015-07-11	1990
216	Egipt	Hurgada	Katowice	2015-07-23	2015-08-02	1950
217	Hiszpania	Teneryfa	Katowice	2015-07-12	2015-07-19	2599
218	Grecja	Kreta	Katowice	2015-06-29	2015-07-06	2150
219	Grecja	Rodos	Krakow	2015-06-25	2015-07-09	3299
220	Maroko	Agadir	Warszawa	2015-07-07	2015-07-14	2125
221	Grecja	Kos	Katowice	2015-07-20	2015-08-03	3490
222	Maroko	Casablanca	Lodz	2015-07-11	2015-07-25	3349
223	Maroko	Casablanca	Gdansk	2015-07-07	2015-07-21	3349
224	Egipt	Sharm El Sheikh	Katowice	2015-07-06	2015-07-20	2690
225	Maroko	Casablanca	Wroclaw	2015-07-20	2015-08-03	3349
226	Egipt	Marsa Alam	Gdansk	2015-07-31	2015-08-14	2990
227	Tunezja	Nabeul	Krakow	2015-07-09	2015-07-16	1190
228	Tunezja	Sousse	Wroclaw	2015-08-13	2015-08-27	1899
229	Turcja	Side	Poznan	2015-08-04	2015-08-18	2390
230	Grecja	Kreta	Poznan	2015-07-05	2015-07-12	2150
231	Bulgaria	Sveti Vlas	Lodz	2015-06-24	2015-07-01	950
232	Hiszpania	Teneryfa	Katowice	2015-07-19	2015-08-02	4299
233	Maroko	Agadir	Wroclaw	2015-06-29	2015-07-06	2125
234	Maroko	Casablanca	Warszawa	2015-07-31	2015-08-14	3349
235	Hiszpania	Fuerteventura	Wroclaw	2015-07-16	2015-07-27	2770
236	Maroko	Agadir	Gdansk	2015-07-10	2015-07-17	2125
237	Tunezja	Hammamet	Gdansk	2015-07-15	2015-07-22	1390
238	Bulgaria	Sveti Vlas	Poznan	2015-06-22	2015-06-29	999
239	Turcja	Belek	Warszawa	2015-08-04	2015-08-18	3109
240	Turcja	Kemer	Lodz	2015-07-10	2015-07-17	1890
241	Tunezja	Monastir	Gdansk	2015-07-15	2015-07-22	1390
242	Turcja	Belek	Wroclaw	2015-08-18	2015-09-01	3109
243	Tunezja	Monastir	Katowice	2015-09-07	2015-09-21	2490
244	Egipt	Sharm El Sheikh	Katowice	2015-07-02	2015-07-09	1490
245	Turcja	Kemer	Poznan	2015-07-02	2015-07-16	3190
246	Hiszpania	Gran Canaria	Krakow	2015-07-15	2015-07-22	1999
247	Turcja	Belek	Lodz	2015-07-06	2015-07-13	1499
248	Hiszpania	Majorka	Katowice	2015-08-24	2015-08-31	2450
249	Maroko	Agadir	Poznan	2015-07-12	2015-07-19	2125
250	Maroko	Agadir	Lodz	2015-06-22	2015-06-29	2125
251	Bulgaria	Sloneczny Brzeg	Katowice	2015-08-19	2015-09-02	1810
252	Hiszpania	Majorka	Wroclaw	2015-07-18	2015-07-25	2250
253	Grecja	Kos	Wroclaw	2015-07-23	2015-08-06	3490
254	Grecja	Rodos	Wroclaw	2015-06-24	2015-07-01	1599
255	Bulgaria	Sloneczny Brzeg	Warszawa	2015-06-17	2015-07-01	1535
256	Hiszpania	Majorka	Warszawa	2015-07-02	2015-07-09	2250
257	Egipt	Hurgada	Krakow	2015-07-03	2015-07-10	1520
258	Tunezja	Nabeul	Krakow	2015-08-06	2015-08-20	1999
259	Grecja	Rodos	Wroclaw	2015-07-22	2015-08-05	3599
260	Egipt	Sharm El Sheikh	Warszawa	2015-07-22	2015-08-02	2290
261	Tunezja	Nabeul	Krakow	2015-07-16	2015-07-23	1190
262	Turcja	Alanya	Warszawa	2015-07-03	2015-07-10	1079
263	Maroko	Casablanca	Lodz	2015-07-11	2015-07-18	1925
264	Turcja	Belek	Lodz	2015-07-27	2015-08-10	2599
265	Grecja	Rodos	Warszawa	2015-07-02	2015-07-16	3599
266	Grecja	Rodos	Poznan	2015-06-30	2015-07-07	1599
267	Egipt	Marsa Alam	Gdansk	2015-07-10	2015-07-17	1590
268	Grecja	Kos	Lodz	2015-07-03	2015-07-10	1950
269	Turcja	Antalya	Katowice	2015-07-04	2015-07-11	1059
270	Maroko	Casablanca	Krakow	2015-07-09	2015-07-23	3349
271	Turcja	Alanya	Gdansk	2015-06-22	2015-07-06	1525
272	Turcja	Antalya	Krakow	2015-07-18	2015-07-25	1059
273	Egipt	Sharm El Sheikh	Poznan	2015-08-01	2015-08-08	1590
274	Egipt	Sharm El Sheikh	Katowice	2015-07-23	2015-08-02	1990
275	Grecja	Rodos	Katowice	2015-06-25	2015-07-09	3299
276	Hiszpania	Teneryfa	Warszawa	2015-07-24	2015-08-07	4299
277	Grecja	Kreta	Warszawa	2015-06-26	2015-07-03	2150
278	Maroko	Agadir	Katowice	2015-06-29	2015-07-06	2125
279	Tunezja	Monastir	Poznan	2015-08-06	2015-08-13	1590
280	Turcja	Kemer	Poznan	2015-07-02	2015-07-09	1990
281	Turcja	Alanya	Katowice	2015-06-22	2015-06-29	976
282	Egipt	Marsa Alam	Warszawa	2015-07-20	2015-07-31	2380
283	Egipt	Sharm El Sheikh	Poznan	2015-08-01	2015-08-15	2790
284	Maroko	Agadir	Wroclaw	2015-07-06	2015-07-13	2125
285	Hiszpania	Gran Canaria	Lodz	2015-07-29	2015-08-05	1999
286	Tunezja	Sousse	Katowice	2015-07-16	2015-07-30	1699
287	Grecja	Kreta	Wroclaw	2015-06-22	2015-06-29	2150
288	Hiszpania	Fuerteventura	Lodz	2015-07-01	2015-07-12	2770
289	Grecja	Kos	Lodz	2015-07-10	2015-07-24	3490
290	Tunezja	Nabeul	Krakow	2015-08-13	2015-08-27	1999
291	Hiszpania	Teneryfa	Poznan	2015-08-20	2015-09-03	4299
292	Grecja	Rodos	Lodz	2015-08-10	2015-08-24	3599
293	Tunezja	Mahdia	Wroclaw	2015-06-29	2015-07-06	1370
294	Maroko	Casablanca	Lodz	2015-07-18	2015-08-01	3349
295	Tunezja	Djerba	Lodz	2015-07-14	2015-07-21	1190
296	Hiszpania	Gran Canaria	Warszawa	2015-07-08	2015-07-15	1999
297	Grecja	Rodos	Krakow	2015-06-25	2015-07-02	1599
298	Hiszpania	Fuerteventura	Poznan	2015-07-08	2015-07-19	2770
299	Turcja	Belek	Krakow	2015-06-30	2015-07-14	2599
300	Hiszpania	Fuerteventura	Warszawa	2015-07-09	2015-07-20	2770
301	Maroko	Agadir	Katowice	2015-07-06	2015-07-13	2125
302	Maroko	Casablanca	Krakow	2015-07-09	2015-07-16	1925
303	Turcja	Alanya	Lodz	2015-07-28	2015-08-04	1079
304	Bulgaria	Sloneczny Brzeg	Gdansk	2015-07-01	2015-07-15	1635
305	Bulgaria	Sloneczny Brzeg	Katowice	2015-07-02	2015-07-09	1110
306	Grecja	Rodos	Warszawa	2015-07-02	2015-07-09	2099
307	Bulgaria	Sloneczny Brzeg	Krakow	2015-07-09	2015-07-16	1110
308	Grecja	Rodos	Katowice	2015-07-09	2015-07-16	2099
309	Hiszpania	Fuerteventura	Katowice	2015-09-08	2015-09-19	2770
310	Bulgaria	Sveti Vlas	Gdansk	2015-07-12	2015-07-19	999
311	Maroko	Casablanca	Poznan	2015-06-30	2015-07-14	3349
312	Turcja	Alanya	Warszawa	2015-07-31	2015-08-14	1879
313	Turcja	Kemer	Lodz	2015-07-17	2015-07-31	3190
314	Hiszpania	Teneryfa	Katowice	2015-07-19	2015-07-26	2599
315	Maroko	Agadir	Krakow	2015-07-29	2015-08-05	2125
316	Turcja	Side	Katowice	2015-06-30	2015-07-07	1260
317	Grecja	Rodos	Warszawa	2015-07-09	2015-07-23	3599
318	Grecja	Kreta	Gdansk	2015-07-12	2015-07-19	2150
319	Hiszpania	Majorka	Gdansk	2015-07-06	2015-07-13	2350
320	Maroko	Agadir	Krakow	2015-08-05	2015-08-12	2515
321	Hiszpania	Gran Canaria	Krakow	2015-07-22	2015-07-29	1999
322	Maroko	Agadir	Krakow	2015-08-12	2015-08-19	2515
323	Bulgaria	Sveti Vlas	Lodz	2015-07-01	2015-07-08	1100
324	Maroko	Casablanca	Lodz	2015-07-18	2015-07-25	1925
325	Grecja	Kos	Warszawa	2015-08-01	2015-08-15	3490
326	Turcja	Alanya	Krakow	2015-07-06	2015-07-20	1879
327	Turcja	Antalya	Warszawa	2015-07-11	2015-07-25	3109
328	Tunezja	Mahdia	Warszawa	2015-07-07	2015-07-14	1370
329	Tunezja	Mahdia	Wroclaw	2015-07-20	2015-08-03	2890
330	Maroko	Casablanca	Lodz	2015-07-25	2015-08-08	3349
331	Bulgaria	Sveti Vlas	Wroclaw	2015-06-29	2015-07-13	1625
332	Hiszpania	Fuerteventura	Warszawa	2015-07-16	2015-07-27	2770
333	Bulgaria	Sveti Vlas	Gdansk	2015-07-19	2015-07-26	999
334	Egipt	Hurgada	Katowice	2015-08-24	2015-09-04	2150
335	Bulgaria	Sveti Vlas	Warszawa	2015-07-22	2015-08-05	1625
336	Grecja	Kreta	Krakow	2015-07-28	2015-08-04	2150
337	Bulgaria	Sveti Vlas	Wroclaw	2015-07-06	2015-07-13	1059
338	Turcja	Belek	Wroclaw	2015-07-07	2015-07-14	1269
339	Turcja	Antalya	Krakow	2015-08-08	2015-08-22	2679
340	Tunezja	Nabeul	Warszawa	2015-07-06	2015-07-13	1190
341	Egipt	Hurgada	Wroclaw	2015-08-07	2015-08-21	2550
342	Egipt	Sharm El Sheikh	Warszawa	2015-08-05	2015-08-19	2659
343	Turcja	Kemer	Lodz	2015-07-17	2015-07-24	1890
344	Turcja	Belek	Gdansk	2015-08-01	2015-08-08	1359
345	Turcja	Belek	Krakow	2015-07-07	2015-07-14	1359
346	Hiszpania	Majorka	Warszawa	2015-07-09	2015-07-16	2250
347	Maroko	Agadir	Poznan	2015-07-19	2015-07-26	2125
348	Maroko	Agadir	Wroclaw	2015-07-13	2015-07-20	2125
349	Tunezja	Sousse	Warszawa	2015-08-01	2015-08-15	1899
350	Bulgaria	Sloneczny Brzeg	Wroclaw	2015-07-25	2015-08-04	1350
351	Egipt	Marsa Alam	Warszawa	2015-08-03	2015-08-17	3665
352	Bulgaria	Sveti Vlas	Katowice	2015-07-14	2015-07-21	950
353	Bulgaria	Sloneczny Brzeg	Gdansk	2015-07-15	2015-07-22	1110
354	Grecja	Kos	Gdansk	2015-06-29	2015-07-13	3490
355	Egipt	Sharm El Sheikh	Wroclaw	2015-07-08	2015-07-15	1490
356	Hiszpania	Gran Canaria	Gdansk	2015-07-22	2015-07-29	1999
357	Grecja	Rodos	Krakow	2015-07-09	2015-07-23	3599
358	Turcja	Belek	Katowice	2015-07-01	2015-07-08	1359
359	Tunezja	Djerba	Wroclaw	2015-07-15	2015-07-29	1990
360	Bulgaria	Sveti Vlas	Lodz	2015-07-08	2015-07-15	1100
361	Bulgaria	Sloneczny Brzeg	Poznan	2015-08-16	2015-08-30	1810
362	Grecja	Rodos	Katowice	2015-07-09	2015-07-23	3599
363	Tunezja	Hammamet	Warszawa	2015-07-15	2015-07-29	2790
364	Egipt	Marsa Alam	Katowice	2015-07-08	2015-07-22	2750
365	Bulgaria	Sveti Vlas	Krakow	2015-07-07	2015-07-14	950
366	Hiszpania	Majorka	Warszawa	2015-07-16	2015-07-23	2250
367	Hiszpania	Gran Canaria	Poznan	2015-07-21	2015-07-28	1999
368	Tunezja	Djerba	Poznan	2015-08-13	2015-08-27	2190
369	Egipt	Hurgada	Katowice	2015-08-27	2015-09-10	2625
370	Turcja	Belek	Krakow	2015-07-07	2015-07-21	2599
371	Maroko	Agadir	Lodz	2015-06-29	2015-07-06	2125
372	Tunezja	Nabeul	Lodz	2015-06-30	2015-07-07	1190
373	Maroko	Agadir	Gdansk	2015-07-17	2015-07-24	2125
374	Bulgaria	Sloneczny Brzeg	Gdansk	2015-07-10	2015-07-20	1470
375	Egipt	Hurgada	Krakow	2015-07-03	2015-07-17	2625
376	Hiszpania	Teneryfa	Gdansk	2015-07-27	2015-08-10	4299
377	Hiszpania	Teneryfa	Wroclaw	2015-07-10	2015-07-24	4299
378	Turcja	Belek	Warszawa	2015-08-04	2015-08-11	1269
379	Hiszpania	Majorka	Katowice	2015-09-07	2015-09-14	2250
