ID_obrazu	Tytul	ID_malarza	ID_oddzialu	Stan
161	Wedrowny bajarz	19	3	ekspozycja czasowa
162	Pejzaz z wodospadem	20	3	w magazynie
163	Portret Domeniki Morghen jako Melpomeny	21	3	w magazynie
164	Madonna z Dzieciatkiem i sw. Anna	22	3	w magazynie
165	Portret St. Kostki Potockiego	23	3	w magazynie
166	Portret Mikolaja Kopernika	24	3	w magazynie
167	Pejzaz z woziwoda (przypisywany)	25	3	ekspozycja stala
168	Krajobraz z Cros-de-Cagnes	26	3	ekspozycja czasowa
169	Portret Michala Wielhorskiego	27	3	w magazynie
170	Chrystus ukazujacy sie Marii Magdalenie	28	3	wypozyczony
171	Sacra Conversazione	29	3	ekspozycja czasowa
172	Sen sw. Jozefa	30	3	ekspozycja stala
173	Nawiedzenie	31	3	ekspozycja czasowa
174	Chrystus i jawnogrzesznica	32	3	w magazynie
175	Wskrzeszenie lazarza	33	3	ekspozycja stala
176	swiety Pawel Pustelnik	34	3	w magazynie
177	Martwa natura z waza	35	3	ekspozycja czasowa
178	Martwa natura z koszami owocow	36	3	w magazynie
179	Mlyn wodny	37	3	wypozyczony
180	Chrystus zmartwychwstaly z krzyzem i kielichem eucharystycznym	38	3	ekspozycja czasowa
181	Kamienny kartusz z popiersiem Nicolasa Poussina w otoku kwiatow	39	3	ekspozycja czasowa
182	Biczowanie Chrystusa	40	3	wypozyczony
183	Pejzaz nadrzeczny z obozowiskiem	41	3	wypozyczony
184	Autoportret	42	3	ekspozycja stala
185	Chrzest Chrystusa	43	3	wypozyczony
186	Kobieta w ogrodzie	44	3	w magazynie
187	Oprawianie warzyw	45	3	ekspozycja stala
188	Saul u wrozki Endor	46	3	w magazynie
189	Ziemia	47	3	ekspozycja czasowa
190	Wenus i Amor w kuzni Wulkana	48	3	ekspozycja stala
191	Biczowanie	49	3	wypozyczony
192	swiety Sebastian	50	3	w magazynie
193	swiety Franciszek prosi papieza o odpust zupelny dla pielgrzymow	51	3	ekspozycja czasowa
194	Portret Henryka Zabiegly	52	3	ekspozycja stala
195	Eneasz i Sybilla	53	3	ekspozycja czasowa
196	Kuchnia	54	3	wypozyczony
197	Diana	55	3	ekspozycja czasowa
198	Martwa natura z melonem	56	3	ekspozycja czasowa
199	Pejzaz lesny 	57	3	wypozyczony
200	Widok Rzymu 	58	3	ekspozycja czasowa
201	Hiob wyszydzany przez zone 	59	3	w magazynie
202	Portret Lorenza Giustinianiego	60	3	ekspozycja stala
203	Caritas Romana 	61	3	w magazynie
204	Georges jedzacy zupe	62	3	ekspozycja stala
205	Modlaca sie kobieta 	63	3	wypozyczony
206	Sen Jakuba 	64	3	ekspozycja stala
207	Chrystus wsrod doktorow	65	3	ekspozycja czasowa
208	Portret Giovanniego Battisty Panese	66	3	ekspozycja czasowa
209	Ostatnia Wieczerza	67	3	ekspozycja czasowa
210	Chrystus wsrod doktorow	68	3	w magazynie
211	Niewierny Tomasz	69	3	ekspozycja czasowa
212	Lucius Junius Brutus calujacy Matke Ziemie	70	3	ekspozycja stala
213	Martwa natura z kwiatami i szklem 	71	3	wypozyczony
214	Dawid z glowa Goliata	72	3	ekspozycja czasowa
215	Krajobraz z okolic Ornans 	73	3	w magazynie
216	Portret mlodego mezczyzny w zoltym kaftanie 	74	3	wypozyczony
217	Portret damy w czarnej sukni 	75	3	ekspozycja czasowa
218	Maria i Jozef	76	3	ekspozycja czasowa
219	Stary krol Dawid grajacy na harfie 	77	3	ekspozycja stala
220	Portret Leonii Bluhdorn	78	3	ekspozycja stala
221	Dirce chrzescijanska	79	3	wypozyczony
222	Pejzaz ze zniszczeniem Sodomy	80	3	ekspozycja stala
223	Wincenty Krasinski w wawozie 	81	3	ekspozycja stala
224	Chlopska kuchnia w ruinach	82	3	ekspozycja czasowa
225	Kontrola bagazy	83	3	ekspozycja stala
226	Triumf Fryderyka Henryka	84	3	ekspozycja stala
227	Kwiaty w wazonie i male stworzonka	85	3	ekspozycja stala
228	Portret weneckiego admirala	86	3	ekspozycja czasowa
229	Starzec	87	3	wypozyczony
230	Bitwa morska chrzescijan z Turkami 	88	3	w magazynie
231	Ecce Homo	89	3	w magazynie
232	Wybor miedzy bogactwem a mlodoscia 	90	3	wypozyczony
233	Blogoslawienstwo Jakuba	91	3	w magazynie
234	Ostatnia Wieczerza	92	3	ekspozycja czasowa
235	Wiolonczelista	93	3	wypozyczony
236	Oltarz swietego Rajnolfa 	94	3	ekspozycja stala
237	Widok portu o poranku 	95	3	w magazynie
238	Portret mlodej kobiety	96	3	w magazynie
239	Dziwny ogrod	97	3	w magazynie
240	Nokturn – labedzie w Ogrodzie Saskim w Warszawie noca	98	3	ekspozycja stala
241	Krajobraz w swietle ksiezyca	99	3	wypozyczony
242	Portret Marii Ludwiki Gonzagi	100	3	wypozyczony
243	Uczta	101	3	wypozyczony
244	Rogalin zima	102	3	ekspozycja czasowa
245	Obrzezanie Chrystusa	103	3	wypozyczony
246	Portret Anny Schaumberg z lalka	104	3	w magazynie
247	Prometeusz	105	3	ekspozycja czasowa
248	Tryptyk ze scena Ecce Homo	106	3	ekspozycja czasowa
249	Poborcy podatkow	107	3	w magazynie
250	Poklon pasterzy	108	3	wypozyczony
251	Widok miasteczka 	109	3	wypozyczony
252	Krajobraz ze sw. Janem Chrzcicielem 	110	3	ekspozycja stala
253	Ponte Rialto	111	3	w magazynie
254	Portret mlodej dziewczyny	112	3	w magazynie
255	Portret Aleksandry z Potockich	113	3	ekspozycja czasowa
256	Portret mezczyzny	114	3	ekspozycja stala
257	Portret damy z pieskiem i malpka	115	3	ekspozycja czasowa
258	Budzenie spiacego mlodzienca za pomoca palacego sie knota	116	3	ekspozycja stala
259	Dawid z glowa Goliata	117	3	ekspozycja stala
260	Martwa natura z zegarkiem	118	3	ekspozycja stala
261	Imieniny Babuni	119	3	ekspozycja czasowa
262	Portret kobiety w kapeluszu	120	3	wypozyczony
263	Sacra Conversazione	121	3	w magazynie
264	Walka koguta z indykiem	122	3	ekspozycja stala
265	Somnambuliczna tancerka	123	3	wypozyczony
266	Zjadacze wezy 	124	3	wypozyczony
267	Portret kardynala Richelieu	125	3	ekspozycja czasowa
268	Prosty posilek (sniadanie wiejskie)	126	3	ekspozycja czasowa
269	Wygnanie z raju	127	3	ekspozycja czasowa
270	Uczynki milosierdzia chrzescijanskiego	128	3	w magazynie
271	Kobieta czeszaca wlosy (Alegoria Vanitas)	129	3	ekspozycja czasowa
272	Wnetrze kosciola sw. Bawona w Haarlemie	130	3	wypozyczony
273	Uczta u Estery	131	3	wypozyczony
274	Bitwa	132	3	ekspozycja czasowa
275	Portret Johana Mauritsa 	133	3	wypozyczony
276	Konie w okolniku	134	3	ekspozycja czasowa
277	Trzy Krzyze	135	3	ekspozycja czasowa
278	Arka Noego 	136	3	wypozyczony
279	Droga wsrod wydm	137	3	ekspozycja czasowa
280	Madonna z Dzieciatkiem	138	3	ekspozycja stala
281	swiety Hieronim	139	3	wypozyczony
282	Chrystus przed Pilatem	140	3	ekspozycja stala
283	Uczta w Kanie Galilejskiej	141	3	wypozyczony
284	Niedobrana para (Vanitas) 	142	3	ekspozycja czasowa
285	Falsz kobiety. Portret Maryli Grossmanowej z autoportretem	143	3	wypozyczony
286	Chocholy	144	3	wypozyczony
287	Ukrzyzowanie	145	3	w magazynie
288	Parasol i niewidoczny	146	3	w magazynie
289	Teatr dzieciecy	147	3	w magazynie
290	Kobieta siedzaca na krzesle	148	3	ekspozycja stala
291	Gra w karty	149	3	wypozyczony
292	Akt z kotem	150	3	wypozyczony
293	Rzez niewiniatek	151	3	ekspozycja czasowa
294	Trzecia rocznica towarzystwa im. Kandinskiego	152	3	ekspozycja czasowa
295	Vertumnus i Pomona	153	3	w magazynie
296	Portret Franciszka Mullera i jego zony Barbary	154	3	ekspozycja czasowa
297	Porwanie krolewny	155	3	ekspozycja czasowa
298	Ulica Nowy swiat w Warszawie w dzien letni	156	3	ekspozycja czasowa
299	sw. Sebastian	157	3	ekspozycja czasowa
300	Ewa II	158	3	ekspozycja czasowa
301	Widok Palacu Prymasowskiego	159	3	ekspozycja czasowa
302	Cyganie w ruinach	19	3	ekspozycja stala
303	Pieta	28	3	wypozyczony
304	Stary dom	47	3	w magazynie
305	Apollo i Saturn (Tryumf Diany)	55	3	ekspozycja czasowa
306	Martwa natura z grzybami	56	3	wypozyczony
307	Trojca swieta 	61	3	w magazynie
308	Imago Pietatis	65	3	ekspozycja czasowa
309	Rzymska sielanka	79	3	ekspozycja stala
310	Lotem i jego corkami	80	3	ekspozycja czasowa
311	ksiecia Oranii 	84	3	ekspozycja stala
312	Mlodzieniec z fajka dmuchajacy na zar 	87	3	w magazynie
313	Skaliste wybrzeze morskie	95	3	w magazynie
314	Slonce majowe	97	3	ekspozycja stala
315	Komunia Apostolow	105	3	ekspozycja stala
316	Przybicie Chrystusa do krzyza	110	3	wypozyczony
317	Portret mezczyzny	115	3	ekspozycja czasowa
318	W oranzerii	119	3	wypozyczony
319	Wenus i Amor	121	3	ekspozycja czasowa
320	Narzeczona	124	3	wypozyczony
321	sw. Janem Chrzcicielem i aniolem	138	3	wypozyczony
322	Biczowanie	140	3	ekspozycja stala
323	Kompozycja z piecioma postaciami 	143	3	ekspozycja stala
324	Autoportret	144	3	ekspozycja czasowa
325	Mezczyzna z ksiega	153	3	ekspozycja stala
326	Bajka o rycerzu	155	3	w magazynie
327	Dzieci w ogrodzie	156	3	ekspozycja stala
328	Latarnia magiczna	19	3	wypozyczony
329	Zwiastowanie	28	3	w magazynie
330	Ofiara Ifigenii	55	3	w magazynie
331	projekt kurtyny teatru krakowskiego	79	3	wypozyczony
332	swieta Rodzina z malym sw. Janem i jego rodzicami	84	3	w magazynie
333	Stworzenie swiata	110	3	ekspozycja stala
334	Portret Heleny i Wladyslawy Chmielarczykowien	119	3	wypozyczony
335	Bajka (Fantazja)	143	3	w magazynie
336	Widok z okna pracowni na Kopiec Kosciuszki	144	3	ekspozycja stala
337	Caritas	144	3	ekspozycja stala
338	Chrystus upadajacy pod ciezarem krzyza	110	3	w magazynie
339	Pejzaz z architektura i scena z Nowego Testamentu	110	3	wypozyczony
